"ID","SITE_NAME","SITE_LOCAT","WATERBODY_","SWS","LONGITUD","LATITUDE","BRANCH","FIELDID","FOTR/WC","YRS SAM","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","#Yrs samp","SP2022 SQI","SP2022 TAXA","SP2022 EPT","SP2022 WQRF","SP2022 COLL","SP2022 DATE","SP2022 TEAM","SP2021 TEAM","SP2021 DATE","SP2021 SQI","SP2021 TAXA","SP2021 INSECT TAXA","SP2021 EPT","SP2021 SENS","SP2021 WQR","SP2021 WQRF","SP2020 TEAM","SP2020 DATE","SP2020 COLL","SP2020 FIELDID","SP2020 LABID","SP2020 SQI","SP2020 TAXA","SP2020 EPT","SP2020 SENS","SP2020 Salt","AVE","SP19 TEAM","SP19 DATE","SP19 COLL","SP19 FIELDID","SP19 LABID","SP19 SQI","SP19 TAXA","SP19 EPT","SP19 SENS","SP18 TEAM","SP18 DATE","SP18 COLL","SP18 FIELDID","SP18 LABID","SP18 SQI","SP18 TAXA","SP18 EPT","SP18 SENS","SP17 TEAM","SP17 DATE","SP17 COLL","SP17 FIELDID","SP17 LABID","SP17 SQI","SP17 TAXA","SP17 EPT","SP17 SENS","SP16 Team","SP16 DATE","SP16 COLL","SP16 FIELDID","SP16LABID","SP16 SQI","SP16 TAXA","SP16 EPT","SP16 SENS","SP15 DATE","SP15 COLL","SP15 FIELDID","SP15 LABID","SP15 SQI","SP15 TAXA","SP15 EPT","SP15 SENS","SP15","SP14","SP14 COLL","SP14 FIELDID","SP14 LABID","SP14 SQI","SP14 TAXA","SP14 EPT","SP14 SENS","SP13","SP13 COLL","SP13 FIELDID","SP13 LABID","SP13 SQI","SP13 TAXA","SP13 EPT","SP13 SENS","SP12 DATE","SP12 COLL","SP12 FIELDID","SP12 LABID","SP12 SQI","SP12 TAXA","SP12 EPT","SP12 SENS","SP11 DATE","SP11 COLL","SP11 FIELDID","SP11 LABID","SP11 SQI","SP11 TAXA","SP11 EPT","SP11 SENS","SP10 DATE","SP10 COLL","SP10 FIELDID","SP10 LABID","SP10 SQI","SP10 TAXA","SP10EPT","SP10SENS","SP09ERR","SP09","SP09COLL","SP09ID","SP09 SQI","SP09 TAXA","SP09 EPT","SP09 SENS","SP08 DATE","SP08COLLECTOR","SP08ID","SP08IDLAB","SP08 SQI","SP08 TAXA","SP08EPT","SP08 SENS","SP07 DATE","SP07COLLECTOR","SP07ID","SP07IDLAB","SP07 SQI","SP07 TAXA","SP07EPT","SP07 SENS","SP06DATE","SP06SAMPLER","SP06 SQI","SP06 TAXA","SP06 EPT","SP06 SENS","SP05 DATE","SAMPLER","SP05 SQI","SP05 TAXA","SP05 EPT","SP05 SENS","SP04 DATE","SP04 SQI","SP04 TAXA","SP03 SQI","SP03TAXA","SP02 SQI","SP02TAXA","SP01 SQI","SP01TAXA"
"2039","","","Middle Rouge","","","","M","Mid6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Petrella/Stark","4/18/2020","Petrella","Petrella","Petrella","15","6","2","0","5.4","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61","Minnow Pond","13 Mile/Farmington","Minnow Pond","U","-83.38905","42.51274","U","Min1","FOTR","","","","","","Y","Y","Y","Y","Y","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","34.6","","","","","","","","","","10","2018-04-21 00:00:00","Julia Sosin","Julia Sosin","Bruce McCulloch","14","7","0","0","11","2017-05-06 00:00:00","Faber","Sweetapple","McCulloch","33.4","11","1","0","4","4/16/16","Cassady","Cassady","Petrella","29.2","10","1","0","","","","","","","","","","","","","","","","","","4/29/13","Petrella","Kamarinas","Petrella","20","8","0","0","","","","","","","","","2011-04-30 00:00:00","Mogill","Kandalian","McCulloch","26","10","1","0","","","","","","","","","","","","","","","","","","","","","","","","","2007-04-28 00:00:00","Haney","Haney","McCulloch","28","12","1","0","2006-04-29 00:00:00","Mogill","45","19","2","0","2005-04-23 00:00:00","FOTR","22","8","1","0","2004-04-24 00:00:00","46","19","32","11","","","",""
"16","OCC","Farmington Rd","Minnow Pond","U","-83.37734","42.493065","U","Min2","FOTR","","","Y","Y","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","2018-04-21 00:00:00","Julia Sosin","Julia Sosin","Bruce McCulloch","13","5","1","0","","","","","","","","","","","","","","","","","","","2015-04-18 00:00:00","Peerbolte","Peerbolte","McCulloch","30.1","12","1","0","2","4/12/14","Camilleri","Boegehold","McCulloch","16","6","1","0","","","","","","","","","2012-04-17 00:00:00","Blott","Weis","McCulloch","36","15","3","0","2011-04-30 00:00:00","Mogill","Kandalian","McCulloch","34","13","1","0","2010-04-24 00:00:00","D Wallace","D Wallace","McCulloch","23","11","1","0","","2009-04-24 00:00:00","Stowe","Ross","38","12","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","Dunckel MS","12 Mile/OL","Minnow Pond","U","-83.37127","42.500565","U","Min3","FOTR","","","Y","Y","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","REP","4/25/19","Erin Cassady","Erin Cassady","Erin Cassady","18.4","9","0","0","","","","","","","","","","","","","","","","","","","4","4/16/16","Fotiu","Cassady","Petrella","22.7","10","1","0","2015-04-18 00:00:00","Peerbolte","Peerbolte","McCulloch","17.5","7","0","0","2","4/12/14","Boegehold","Nowicki","McCulloch","25","10","1","0","","","","","","","","","2012-04-17 00:00:00","Blott","Weis","McCulloch","14","7","1","0","","","","","","","","","2010-04-24 00:00:00","D Wallace","D Wallace","McCulloch","25","10","2","0","","2009-04-04 00:00:00","training","","32","13","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2036","","","Minnow Pond","","","","U","Min4","FOTR","","","","","","","","","","","","","","15","7","1","7","Puckett","2022-04-23 00:00:00","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","2017-05-06 00:00:00","Faber","Sweetapple","McCulloch","25.1","10","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33","Eight Mile","Eight Mile East of Telegraph","Main Rouge","M3/4","-83.271389","42.399722","MN","MN-1","WC","","","Y","Y","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4/21/14","Mullett","Mullett","Thompson","30","12","2","0","5/7/13","Flowers","Flowers","Thompson","25","10","1","0","2012-04-24 00:00:00","Mullett","Mullett","Thompson","33","13","2","0","","","","","","","","","2010-05-28 00:00:00","Thompson","Thompson","Thompson","29","11","2","0","","2009-05-22 00:00:00","Flowers","Flowers","26","12","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34","Eliza Howell","5 Mile/Telegraph","Main Rouge","M3/4","-83.274722","42.438056","MN","MN-2","WC","","","Y","Y","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WC","2017-04-18 00:00:00","Thompson","Thompson","Thompson","28","12","2","0","","","","","","","","","","2015-04-17 00:00:00","Mullett","Mullett","Thompson","25","11","1","0","","4/21/14","Mullett","Mullett","Thompson","22","10","1","0","5/7/13","Flowers","Flower","Thompson","24","9","2","0","2012-04-24 00:00:00","Mullett","Mullett","Thompson","27","11","2","0","","","","","","","","","2010-05-28 00:00:00","Thompson","Thompson","Thompson","19","8","1","0","","2009-05-22 00:00:00","Flowers","Flowers","26","11","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2042","","","Main Rouge","","","","MN","MN-3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","","","","","","","","0","0","0","","","","","","","0","0","0","","","","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2007","Parkland Park","","Main Rouge","M3/4","-83.247806","42.3379","MN","MN-4","WC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WC","","","","","","","","","WC","","","","","","","","","","","","","","","","","WC","4/29/14","Thompson","Petrella","Petrella","24","10","0","0","5/8/13","Flowers","Flowers","Thompson","24","10","2","0","2012-04-24 00:00:00","Mullett","Mullett","Thompson","22","8","1","0","2011-06-09 00:00:00","Thompson","Thompson","Thompson","32","13","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2023","","","Main Rouge","","","","MN","MN-5","WC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WC FOTR","4/12/19","Mike Flowers","Mike Flowers","Sue Thompson","39.3","14","2","1","WC","2018-04-26 00:00:00","Sue Thompson","Sue Thompson","Sue Thompson","42.2","14","2","0","WC","2017-04-18 00:00:00","Thompson","Thompson","Thompson","40.7","16","2","0","WC","4/20/16","Thompson","Thompson","Thompson","35.6","14","2","0","","","","","","","","","WC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57","Firefighters Pk","Coolidge/I-75","Main Rouge","M1/2","-83.17984","42.60991","MN","Main1","FOTR","","","","","Y","","Y","Y","Y","Y","Y","","6","32","11","2","5.34","Hunt","2022-04-23 00:00:00","7","4","4/23/2021","36.1","13","8","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","4/16/16","Stopa","Agosta","Petrella","29.7","12","2","0","","","","","","","","","","","","","","","","","","4/27/13","Tykoski","Agosta","McCulloch","26","11","1","0","2012-04-17 00:00:00","Evans","Stopa","McCulloch","29","13","1","0","2011-05-01 00:00:00","Eisenman","Eisenman","McCulloch","26","14","1","0","","","","","","","","","","","","","","","","","2008-04-26 00:00:00","McCulloch","McCulloch","McCulloch","19.2","10","1","0","","","","","","","","","2006-05-02 00:00:00","Suender","40","14","3","0","2005-04-23 00:00:00","FOTR","16.5","7","1","0","2004-05-05 00:00:00","29.6","12","28.3","14","20.1","9","",""
"2015","HF Estate Dam","","Main Rouge","","","","MN","Main10","FOTR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2029","","","Quarton Branch","","","","MN","Main11","FOTR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","2017-05-06 00:00:00","Peerbolte","Berger","McCulloch","31.9","12","2","0","9","4/16/16","Muller","Peerbolte","Petrella","26.6","10","1","0","2015-04-18 00:00:00","Peterson","Kandilian","McCulloch","36.4","13","2","1","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2010","Upper Rouge","Five Mile Beech Daly","Upper Rouge","U","-83.286158","42.400014","U","UR-4","WC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WC FOTR","4/12/19","Sue Thompson","Sue Thompson","Sue Thompson","23.6","10","2","0","WC","2018-04-27 00:00:00","Noel Mullett","Mike Flowers","Sue Thompson","24.5","10","1","0","","","","","","","","","","","","","","","","","","","2015-04-22 00:00:00","Flowers","Flowers","Thompson","18.3","8","1","0","WC","4/17/14","Flowers","Flowers","Thompson","17","7","2","0","5/8/13","Flowers","Flowers","Thompson","21","9","1","0","2012-04-24 00:00:00","Flowers","Flowers","Thompson","21","9","1","0","2011-05-13 00:00:00","Mullett","Mullett","Thompson","35","14","2","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024","","","Beitz Creek","","-83.379288","42.411266","U","UR-5","WC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WC","","","","","","","","","WC","2017-04-24 00:00:00","Mullett","Flowers","Thompson","26.5","15","1","0","WC","4/20/16","Thompson","Thompson","Thompson","22.7","11","1","0","2015-04-22 00:00:00","Thompson","Thompson","Thompson","19.6","10","1","0","WC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71","Parmenter's Cider Mille","Old Baseline/ Old Novi Rd","Walled Lk Drainage","M1","-83.47369","42.43673","M","Wall0","FOTR","","","","Y","Y","","Y","Y","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","28.03","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-04-18 00:00:00","Clark","Rigsby","McCulloch","21.2","9","1","0","9","","","","","","","","","","","","","","","","","2012-04-21 00:00:00","Ross","Ross","McCulloch","18","8","1","0","","","","","","","","","","","","","","","","","-0.0344827586206897","2009-04-25 00:00:00","Thompson","Thompson","29","12","2","0","2008-04-26 00:00:00","Flowers","Flowers","McCulloch","35.9","14","2","0","","","","","","","","","2006-05-03 00:00:00","Jaskiewicz","22","9","1","0","2005-05-18 00:00:00","REP","26.2","10","2","0","","","","","","","","",""
"72","Rotary Park","9 Mile/Meadowbrook","Walled Lk Drainage","M1","-83.46525","42.44957","M","Wall1","FOTR","","","","","Y","Y","Y","Y","Y","Y","Y","","7","","","","","","","","11","4/17/2021","8.3","4","2","0","0","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","2015-04-18 00:00:00","Clark","Rigsby","McCulloch","25.7","12","1","0","9","","","","","","","","","","","","","","","","","2012-04-21 00:00:00","Kandilian","Kandalian","McCulloch","30","12","2","0","","","","","","","","","","","","","","","","","","","","","","","","","2008-04-26 00:00:00","Erickson","Dudek","McCulloch","30.9","10","2","0","2007-04-28 00:00:00","Samota","Samota","McCulloch","23.5","10","2","0","2006-04-29 00:00:00","Sadler","31","12","2","0","2005-04-23 00:00:00","FOTR","12.3","4","2","0","2004-05-05 00:00:00","29.5","13","20.4","9","17.2","4","",""
"25","WL 10 M","10 Mile/Novi","Walled Lk Drainage","M1","-83.46623","42.46732","M","Wall2","FOTR","","","Y","","Y","","","","Y","Y","Y","Y","5","30","10","1","6.09","Rentschler","2022-04-23 00:00:00","1","7","4/17/2021","21.9","10","5","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","2017-05-06 00:00:00","Hunt","Hunt","McCulloch","10","4","0","0","","","","","","","","","","2015-04-18 00:00:00","Koloski","Agosta","McCulloch","21.5","9","1","0","7","","","","","","","","","4/27/13","Marvin","DeGrande","McCulloch","20","8","2","0","","","","","","","","","2011-04-30 00:00:00","Erickson","Dudek","McCulloch","24","10","1","0","2010-04-24 00:00:00","Phipps","Ross","Tluzek","30","11","1","0","","","","","","","","","2008-04-26 00:00:00","Erickson","Dudek","McCulloch","18.4","8","1","0","","","","","","","","","","","","","","","","","","","","","2004-04-24 00:00:00","17.9","7","20.3","8","17.1","7","15.2","7"
"26","12 Mile","12 Mile/Taft","Walled Lk Drainage","M1","-83.49575","42.49486","M","Wall3","FOTR","","","Y","Y","","","","","","","","","1","","","","","","","","7","4/17/2021","16.9","8","5","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","2017-05-06 00:00:00","Hunt","Hunt","McCulloch","14.6","6","1","0","","","","","","","","","","2015-04-18 00:00:00","Agosta","Koloski","McCulloch","31","12","1","0","7","","","","","","","","","4/27/13","Marvin","DeGrande","McCulloch","28","9","2","0","","","","","","","","","2011-04-30 00:00:00","Erickson","Dudek","McCulloch","28","12","1","0","2010-04-24 00:00:00","Erickson","Dudek","McCulloch","24","10","1","0","","2009-04-25 00:00:00","Erickson","Dudek","28","10","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
