"ID","FIELDID","Date","Time","fname","lname","water temp, C","DO, mg/L","pH","heavy rain now","heavy rain past 24 hrs","steady rain now","steady rain past 24 hrs","intermittent showers now","intermittent showers past 24 hrs","% cloud cover now","% cloud cover past 24 hrs","clear/sunny now","clear/sunny past 24 hrs","heavy rain in last 7 days?","boulder","cobble","gravel","sand","silt","clay","predominant substrate","2nd predominant substrate","undercut banks","overhanging vegetation","deep pools","length sampled","width sampled","canopy cover","high water mark in ft","channelized","% riffle","% pool","% run","wood in stream?","proportion covered with wood","aquatic plants present?","algae present?","algae color","sheen or oil slick?","breaks up when poked?","how turbid is the water?","rt bank rip veg width","rt bank % mowed grass","rt bank % other herbaceous plants","rt bank % trees","rt bank % bare soil","rt bank % shrubs","rt bank % paved","lft bank rip veg width","lft bank % mowed grass","lft bank % other herbaceous plants","lft bank % trees","lft bank % bare soil","lft bank % shrubs","lft bank % paved","land use - 1","land use - 2","land use - 3","land use  - 4","land use  - 5","Outfalls?","Number of outfalls","Number of outfalls flowing","type of discharge, description","concerns","biggest  threat"
"11","LR-6","2013-06-07 00:00:00","1899-12-30 08:15:00","Bob","Muller","","0","0","False","False","False","False","False","True","1","0.7","False","False","False","False","False","True","True","True","True","","","False","False","True","300","40","0-25%","","True","0","0.5","0.5","True","26-50%","False","False","","False","False","slightly turbid","200","","","1","","","","40","","","1","","","","forest","commercial","residential","parkland","","True","1","0","","",""
"12","LR-10","2013-06-07 00:00:00","1899-12-30 12:30:00","Bob","Muller","","0","0","False","False","False","False","False","True","1","0.7","False","False","False","True","True","True","True","False","True","","","True","False","False","300","30","26-50%","","True","0.1","0.2","0.7","True","0-25%","False","False","","False","False","slightly turbid","50","","","1","","","","50","","","1","","","","forest","parkland","","","","False","","","","large cemented shut",""
"13","Fel1","2013-05-17 00:00:00","","Bob","Muller","16","0","0","False","False","False","False","False","False","","","True","False","False","True","True","True","True","True","False","gravel","sand","True","True","False","300","","76-100%","2","False","0.1","0.4","0.5","True","0-25%","False","False","","False","False","clear","100","","0.1","0.8","","0.1","","100","","0.1","0.8","","0.1","","forest","residential","","","","False","","","","",""
"14","Fel3","2013-06-22 00:00:00","","Bob","Muller","20.5","0","0","False","False","False","False","False","False","","","True","True","False","False","True","True","True","True","False","sand","","False","True","False","300","6","26-50%","","True","0.1","0.1","0.8","True","0-25%","True","False","","False","False","clear","100","","","0.9","","0.1","","100","","","0.9","","0.1","","residential","","","","","False","","","","",""
"15","Fel5","2013-06-22 00:00:00","","Bob","Muller","20.5","0","0","False","False","False","False","False","False","","","True","True","False","False","False","True","True","True","False","sand","","False","False","False","300","8","76-100%","","False","","","1","True","0-25%","True","False","","False","False","","50","","","1","","","","50","","","1","","","","forest","residential","","","","False","","","","",""
"16","Fel6","2013-06-22 00:00:00","","Bob","Muller","21.5","0","0","False","False","False","False","False","False","","","True","True","False","False","False","False","True","True","True","sand","","False","True","True","300","8","76-100%","","False","0.1","0.05","0.85","True","0-25%","False","False","","False","False","","50","","","1","","","","50","","","1","","","","forest","residential","","","","False","","","","",""
"17","Fel4","2013-05-18 00:00:00","1899-12-30 09:30:00","Bob","Muller","17","0","0","False","False","False","False","False","False","","","True","True","False","False","False","True","True","True","True","sand","cobble","True","False","True","300","6","26-50%","5.5","True","0.05","0.35","0.6","True","0-25%","False","False","","False","False","slightly turbid","25","","","0.8","","0.2","","25","","","0.8","","0.2","","residential","parkland","","","","True","3","0","","",""
"18","LR-5","2013-05-18 00:00:00","1899-12-30 11:33:00","Bob","Muller","19","0","0","False","False","False","False","False","False","","","True","True","False","False","False","True","True","True","True","sand","","True","False","True","300","10","76-100%","3","True","0","0.6","0.4","True","0-25%","False","False","","False","False","turbid","25","","0.1","0.8","","0.1","","25","","0.1","0.8","","0.1","","residential","","","","","False","","","","",""
"19","LR-9","2013-05-17 00:00:00","","Bob","Muller","19.5","0","0","False","False","False","False","False","False","","","True","False","False","False","False","False","True","True","True","sand","","True","True","False","","","51-75%","3","False","","0.5","0.5","True","0-25%","False","True","","False","False","slightly turbid","10","","","0.5","","0.5","","","","","0.5","","0.5","","field","residential","","","","False","","","","",""
"20","Fel2","2013-05-17 00:00:00","1899-12-30 13:00:00","Bob","Muller","15","0","0","False","False","False","False","False","False","","","True","False","False","True","True","True","True","True","True","silt","clay","True","True","True","300","6","76-100%","2.5","True","","0.25","0.75","True","26-50%","False","True","green","False","False","turbid","20","","","0.75","","0.25","","20","","","0.75","","0.25","","residential","","","","","False","","","","",""
"21","Fowl1","2013-05-10 00:00:00","1899-12-30 09:00:00","Bob","Muller","17","0","0","False","False","False","True","False","False","1","","False","False","False","False","True","True","True","True","False","gravel","","True","True","True","300","5","51-75%","1","False","0.1","0.15","0.75","True","0-25%","True","False","","False","False","clear","100","","0.15","0.4","0.05","0.4","","20","","0.15","0.4","0.05","0.4","","agriculture","bridges","residential","parkland","","False","","","","",""
"22","Fowl3","2013-06-01 00:00:00","1899-12-30 10:30:00","Bob","Muller","20","0","0","False","False","False","False","False","False","","","True","True","True","False","False","False","True","True","False","silt","","False","True","False","100","3","26-50%","","False","","","1","True","0-25%","False","True","brown","False","False","turbid","25","","","0.8","","0.2","","25","","","0.8","","0.2","","field","","","","","False","","","","",""
"23","Nfowl","2013-06-01 00:00:00","1899-12-30 12:00:00","Bob","Muller","20","0","0","False","False","False","False","False","False","","","True","False","True","False","False","True","True","True","False","silt","","False","True","True","100","","76-100%","","True","","0.5","0.5","True","0-25%","False","True","brown","False","False","turbid","25","","","0.8","","0.2","","25","","","0.8","","0.2","","field","","","","","False","","","","",""
"24","Fowl2","2013-05-10 00:00:00","1899-12-30 11:00:00","Bob","Muller","20","0","0","False","False","False","False","False","True","0.8","","False","False","False","True","True","True","True","True","True","sand","","True","True","True","300","10","26-50%","5","True","0.15","0.1","0.75","True","26-50%","False","False","","False","False","turbid","100","","0.1","0.5","","0.4","","100","","0.1","0.5","","0.4","","forest","agriculture","bridges","residential","","False","","","","",""
