"ID","BRANCH","FIELDID","STONEFLIES PRESENT?","ST2022","ST2022date","ST2022Family","ST2022Saltppm","ST2021","ST2021date","ST2021Family","ST2021Saltppm","ST2020date","ST2020","ST2020Family","ST2020Salt","ST2020Saltppm","ST19","ST19Family","ST19 date","ST19Collector","ST18","ST18Collector","ST17Collector","ST17date","ST17","ST17Capnids","ST17Perlodids","ST17Nemourids","ST17Taeniopteryx","ST16date","ST16Collector","ST16","ST16 Capnids","ST16 Perlodids","ST15","ST15date","ST15Capnids","ST15Perlodids","ST15Collector","ST14date","ST14","ST14Capnids","ST14Perlodids","ST13date","ST13","ST13Capnids","ST13Perlodids","St13Taeniopteryx","ST12","ST12Capnids","ST12Perlodids","ST12Taeniopteryx","ST11 Perlodids","ST11 Capnid","ST11","ST10","ST10 Capnid","ST10 Perlodid","ST10 Nemouridae","ST10 Taeniopterygidae","ST09","ST09 Capnid","ST09 Perlodid","ST08","ST08 Capnid","ST08Perlodid","ST07","ST06","ST05","ST04","ST03","ST02"
"11","L","Fel4","Y","N","2022-01-19 00:00:00","","140","","","","","2020-01-22 00:00:00","N","","","","","","","","","","","","","","","","","2/13/16","12","N","","","N","2/14/15","","","8","1/25/14","N","N","N","1/26/13","N","","","","Y","Capniidae","","","","","N","Y","Allocapnia","","","","","","","","","","","","N","","",""
"12","L","Fowl1","Y","","","","","Y","2021-01-23 00:00:00","Capnids","108","2020-01-25 00:00:00","Y","Capnids","1","20","Y","Capnids","2019-01-26 00:00:00","6","Y","3","8","2017-01-21 00:00:00","Y","45","","","","2/13/16","3","Y","14","","N","2/14/15","","","4","1/25/14","Y","Y","N","1/26/13","Y","Capniidae","","","Y","Capniidae","","","","Allocapnia","Y","Y","Allocapnia","","","","Y","Y","","Y","Y","","Y","Y","","Y","Y","Y"
"13","L","Fowl2","Y","N","2022-01-31 00:00:00","","55","N","2021-01-23 00:00:00","","86","","","","","","N","","2019-01-26 00:00:00","6","N","3","","","","","","","","2/13/16","3","Y","2","","N","2/14/15","","","4","1/25/14","N","N","N","1/26/13","N","","","","N","","","","","Allocapnia","Y","Y","Allocapnia","","","","N","","","N","","","N","","Y","","",""
"14","M","John1","Y","Y","2022-01-22 00:00:00","Capnids","342","N","2021-01-23 00:00:00","","86","2020-01-25 00:00:00","Y","Capnids","1.6","30","Y","Capnids","2019-01-26 00:00:00","7","Y","4","1","2017-01-21 00:00:00","Y","5","","","1","2/13/16","4","Y","10","","","","","","","1/25/14","Y","Y","N","1/26/13","Y","Capniidae","","","Y","Capniidae","","","","","N","Y","Allocapnia","Perlodidae","Nemouridae??","","","","","Y","Y","","Y","Y","","Y","Y","Y"
"15","M","John2","Y","Y","2022-01-22 00:00:00","Capnids, Perlodids","40","N","2021-01-23 00:00:00","","108","2020-01-25 00:00:00","N","","1.4","25","Y","Capnid","2019-01-26 00:00:00","7","Y","4","1","2017-01-21 00:00:00","Y","3","","1","","2/13/16","4","N","","","","","","","","1/25/14","Y","Y","N","1/26/13","Y","Capniidae","","Taeniopteryx","Y","Capniidae","Perlodidae","","","Allocapnia","Y","Y","Allocapnia","","","","N","","","Y","Capnid","","Y","Y","","Y","N","Y"
"16","M","John3","Y","Y","2022-01-22 00:00:00","Capnids, Perlodids","91","Y","2021-01-14 00:00:00","Capnids","97","2020-01-25 00:00:00","N","","2.2","56","Y","Capnids","2019-01-26 00:00:00","8","Y","5","3","2017-01-21 00:00:00","Y","18","","","1","2/13/16","5","N","","","Y","2/14/15","Y","","3","1/25/14","Y","Y","N","1/26/13","Y","Capniidae","","","Y","Capniidae","","Taeniopteryx","","","","Y","Allocapnia","","","","Y","Y","","Y","Y","","Y","","","Y","Y","Y"
"17","M","John5","Y","N","2022-01-22 00:00:00","","101","","","","","","","","","","Y","Capnids","2019-01-26 00:00:00","9","N","6","","","","","","","","2/13/16","6","N","","","Y","2/14/15","Y","","6","1/25/14","Y","Y","N","1/26/13","Y","Capniidae","","","N","","","","","Allocapnia","Y","Y","Allocapnia","","","","Y","Y","","Y","Y","","Y","Y","","Y","Y","Y"
"18","M","John6","Y","N","2022-01-22 00:00:00","","91","N","2021-01-23 00:00:00","","114","","","","","","N","","2019-01-26 00:00:00","10","N","7","","","","","","","","2/13/16","7","N","","","N","2/14/15","","","6","1/25/14","N","N","N","1/26/13","N","","","","Y","Capniidae","","","","Allocapnia","Y","Y","Allocapnia","","","","Y","Y","","Y","Y","","Y","Y","Y","","","Y"
"19","M","John7","Y","Y","2022-01-22 00:00:00","Capnids, Perlodids","81","Y","2021-01-14 00:00:00","Capnids","97","2020-01-25 00:00:00","N","","2","46","Y","Capnids","2019-01-26 00:00:00","8","Y","5","3","2017-01-21 00:00:00","Y","11","","","","2/13/16","5","Y","3","","Y","2/14/15","Y","","3","2/2/14","Y","Y","N","1/26/13","Y","Capniidae","","","Y","Capniidae","","","","Allocapnia","Y","Y","Allocapnia","","","","Y","Y","","Y","Y","Y","Y","","","","",""
"20","L","Low2","Y","","","","","","","","","2020-01-25 00:00:00","Y","Capnids","1.6","30","N","","2019-01-26 00:00:00","3","N","11","5","2017-01-21 00:00:00","N","","","","","2/13/16","11","N","","","","","","","","","","","","1/26/13","N","","","","N","","","","","","","Y","Allocapnia","","","","","","","N","","","Y","Y","Y","","",""
"21","L","LR-8","Y","Y","2022-01-22 00:00:00","Capnids","91","","","","","","","","","","","","","3","N","11","5","2017-01-21 00:00:00","Y","20","","","","2/13/16","11","N","","","","","","","","1/25/14","Y","Y","N","1/26/13","N","","","","Y","Capniidae","","","","","N","Y","Capniidae","","","","Y","Y","","","","","","","","","",""
"22","L","LR-9","Y","Y","2022-01-19 00:00:00","Capnids","153","","","","","2020-01-25 00:00:00","Y","Capnids","2.8","91","","","","","","","7","2017-01-21 00:00:00","Y","5","","","","2/13/16","12","Y","1","","N","2/14/15","","","11","1/25/14","N","N","N","1/26/13","Y","Capniidae","","","Y","Capniidae","","","","","N","Y","Allocapnia","Perlodidae","","","Y","Y","Y","","","","","","","","",""
"23","M","Mid1","Y","","","","","N","2021-01-23 00:00:00","","346","","","","","","N","","2019-01-26 00:00:00","11","N","8","","","","","","","","2/13/16","8","N","","","N","2/14/15","","","10","1/25/14","N","N","N","","","","","","","","","","","","N","Y","Allocapnia","","","","Y","Y","","N","","","N","","Y","","Y",""
"24","MN","MN-1","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2/6/13","N","","","","N","","","","","","N","Y","","","","Taeniopteryx","N","","","","","","","","","","",""
"25","M","MR-1","Y","N","2022-01-22 00:00:00","","277","","","","","","","","","","N","","2019-01-26 00:00:00","10","N","7","WC","2017-01-30 00:00:00","N","","","","","2/13/16","7","N","","","N","2/14/15","","","10","1/25/14","N","N","N","1/26/13","N","","","","N","","","","","","N","Y","Allocapnia","","","","Y","Y","","N","","","","","","","",""
"26","M","MR-18","Y","N","2022-01-22 00:00:00","","250","Y","2021-01-23 00:00:00","Capnids","346","","","","","","N","","2019-01-26 00:00:00","11","N","9","WC","2017-01-30 00:00:00","N","","","","","2/13/16","9","N","","","N","2/14/15","","","12","1/25/14","N","N","N","","","","","","","","","","","","N","Y","Allocapnia","","","","Y","Y","","","","","","","","","",""
"27","M","MR-2","Y","N","2022-01-22 00:00:00","","140","N","2021-01-23 00:00:00","","370","","","","","","N","","2019-02-02 00:00:00","WC SH","Y","WC","","","","","","","","2/8/16","WC","N","","","","","","","","1/25/14","Y","Y","N","","","","","","N","","","","","","N","Y","Allocapnia","","","","Y","Y","","Y","Y","","Y","","N","","",""
"28","M","MR-20","Y","N","2022-01-22 00:00:00","","258","","","","","2020-01-22 00:00:00","N","","","","N","","2019-01-18 00:00:00","WC","Y","8","","","","","","","","2/13/16","8","N","","","N","2/14/15","","","12","1/25/14","N","N","N","1/26/13","N","","","","N","","","","","","N","Y","Capniidae","","","","N","","","","","","","","","","",""
"29","U","Up1","Y","Y","2022-01-22 00:00:00","Capnids","310","N","2021-01-23 00:00:00","","455","","","","","","Y","Capnids","2019-01-26 00:00:00","4","Y","12","","","","","","","","2/13/16","13","N","","","N","2/14/15","","","13","","","","","1/26/13","N","","","","N","","","","","","N","Y","Allocapnia","","","","","","","N","","","N","N","Y","","",""
"30","U","Bell1","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N",""
"31","M","Bish1","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","N"
"32","MN","For1","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N"
"33","MN","For2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34","MN","Frank1","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","N"
"35","MN","Frank2","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","","","",""
"36","M","Ing1","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","",""
"37","M","Ing2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38","M","John4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39","L","Low1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","L","LR-2","N","N","2022-01-31 00:00:00","","124","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1/26/13","N","","","","","","","","","","","","","","","","","","","N","","","","","","","",""
"41","L","LR-3","N","","","","","","","","","","","","","","","","","","N","WC","","","","","","","","2/16/16","WC","N","","","N","2/11/15","","","WC","1/23/14","N","N","N","2/4/13","N","","","","","","","","","","","","","","","","","","","N","","","","","","","",""
"42","MN","Main1","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","",""
"43","MN","Main11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44","MN","Main2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45","MN","Main3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46","MN","Main4","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","N"
"47","MN","Main5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48","MN","Main6","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","2/14/15","","","1","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","N","N","N"
"49","MN","Main7","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","2/11/15","","","WC","","","","","2/6/13","N","","","","","","","","","","N","","","","","","","","","","","","","","","","",""
"50","M","Mid2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51","M","Mid5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52","M","Mid7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53","U","Min1","N","N","2022-01-22 00:00:00","","366","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","","N","",""
"54","U","Min2","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","","","",""
"56","M","MR-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57","M","MR-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58","M","MR-3","N","","","","","","","","","","","","","","","","","","N","WC","WC","2017-02-04 00:00:00","N","","","","","2/6/16","WC","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","","N","","N","","",""
"59","M","MR-4","","","","","","","","","","","","","","","","","","","","","ST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","M","MR-5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61","M","MR-6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62","M","MR-7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63","M","MR-8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64","M","MR-9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65","MN","Nott","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","",""
"66","M","Nton","N","N","2022-01-22 00:00:00","","615","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","","","",""
"67","MN","Peb1","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","N"
"68","MN","Peb2","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","",""
"69","MN","Qu1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"70","U","See1","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","","N"
"71","U","See2","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1/25/14","N","N","N","","","","","","","","","","","","","","","","","","","","","","","","","N","","N","",""
"72","U","See3","N","","","","","N","2021-01-23 00:00:00","","487","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","","","",""
"73","MN","Sprag","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","","",""
"74","U","Tar1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75","U","Tar2","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N",""
"76","U","Tar3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77","L","Trues1","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","","","",""
"78","U","Up5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79","U","Up6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80","U","UR-1","N","","","","","","","","","","","","","","N","","2019-02-21 00:00:00","WC","N","WC","","","","","","","","2/9/16","WC","N","","","N","2/11/15","","","WC","","","","","2/6/13","N","","","","N","","","","","","","","","","","","","","","","","","","","","","",""
"81","U","UR-3","N","","","","","","","","","2020-01-23 00:00:00","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","","","",""
"82","M","Wall1","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","","N"
"83","M","Wall2","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","N"
"84","M","Wall3","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N"
"85","M","Will1","N","","","","","","","","","2020-01-25 00:00:00","N","","4.9","242","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","N","",""
"86","M","John8","Y","","","","","Y","2021-01-13 00:00:00","Capnids, Perlodids","159","2020-01-11 00:00:00","Y","Capnids, Perlodids","1","20","Y","Capnids, Perlodids","2019-01-12 00:00:00","ST","Y","6","2","2017-01-21 00:00:00","Y","4","2","","","2/13/16","6","Y","","3","Y","2/14/15","","Y","ST","1/25/14","N","N","N","1/26/13","Y","","Perlodidae","","Y","","Perlodidae","","Perlodid","Allocapnia","Y","","","","","","","","","","","","","","","","",""
"87","M","MR-23","Y","","","","","","","","","2020-02-02 00:00:00","N","","","","Y","Capnids","2019-01-13 00:00:00","ST","Y","ST","ST","2017-01-22 00:00:00","N","","","","","2/20/16","ST","Y","5","1","N","2/13/15","","","ST","2/1/14","N","N","N","2/3/13","Y","Capniidae","","","Y","Capniidae","","","","","N","","","","","","","","","","","","","","","","",""
"88","MN","MN-5","N","","","","","","","","","","","","","","N","","2019-02-21 00:00:00","WC","N","WC","WC","2017-01-30 00:00:00","N","","","","","2/9/16","WC","N","","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","","","",""
"90","MN","Main8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91","L","LR-10","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","2/17/15","","","WC","1/23/14","N","N","N","2/5/13","N","","","","N","","","","","","","","","","","","","","","","","","","","","","",""
"92","L","LR-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93","L","LR-5","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","2/14/15","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94","L","LR-6","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1/23/14","N","N","N","2/4/13","N","","","","N","","","","","","","","","","","","","","","","","","","","","","",""
"95","M","MR-22","Y","Y","2022-01-16 00:00:00","Capnids","140","Y","2021-01-14 00:00:00","Capnids","203","2020-01-20 00:00:00","Y","Capnids","","","Y","Capnids","2019-01-13 00:00:00","ST","Y","ST","ST","2017-01-22 00:00:00","Y","50","","","","2/7/16","ST","Y","22","","","","","","","1/19/14","N","N","N","2/2/13","N","","","","Y","Capniidae","Perlodidae","","","","","","","","","","","","","","","","","","","","",""
"96","U","UR-2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97","U","UR-4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98","L","LR-7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99","MN","MN-4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"100","MN","Peb3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"101","M","Bish2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102","M","MR-24","","N","2022-01-23 00:00:00","","632","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"103","M","MR-12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104","M","MR-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"105","M","MR-15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"106","M","Wall0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"107","MN","Main4.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"108","MN","MN-2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"109","M","MR-25","Y","Y","2022-01-17 00:00:00","Capnids","182","","","","","2020-02-02 00:00:00","Y","Capnids","","","Y","Capnids","2019-01-19 00:00:00","ST","Y","ST","ST","2017-01-22 00:00:00","Y","14","","","","2/7/16","ST","Y","8","","Y","2/13/15","Y","","ST","2/1/14","Y","Y","N","2/3/13","Y","Capniidae","","","Y","Capniidae","","","","","","","","","","","","","","","","","","","","","",""
"110","L","LR-12","N","","","","","","","","","","","","","","N","","2019-02-19 00:00:00","WC","N","WC","","","","","","","","2/16/16","WC","N","","","N","2/17/15","","","WC","","","","","1/26/13","N","","","","N","","","","","","","","","","","","","","","","","","","","","","",""
"111","MN","Main9","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","Taeniopteryx","","","","","","","","","","","","","","","","","","","",""
"112","U","SeeBOSCH","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","Taeniopteryx","","","","","","","","","","","","","","","","","","","",""
"113","MN","Main10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
