,FIELDID,Latitude,Longitude,Date and Time,Common Name,Quantity,Year,Month,Day,Category,Species per Year
69,Low4,42.2866039,-83.4756605,2014-08-09,Central Stoneroller,4,2014,8,9,,11
70,LR-10,42.298506,-83.305839,2015-05-01,Central Stoneroller,4,2015,5,1,,18
71,LR-12,42.282317,-83.466103,2015-05-29,Central Stoneroller,4,2015,5,29,,19
72,LR-12,42.282317,-83.466103,2015-08-14,Central Stoneroller,4,2015,8,14,,19
73,Main5,42.52219,-83.24692,2016-10-06,Central Stoneroller,1,2016,10,6,,14
74,LR-8,42.295976,-83.541846,2013-05-11,Central Stoneroller,3,2013,5,11,,10
75,Low7,42.283278,-83.397352,2013-08-02,Central Stoneroller,3,2013,8,2,,11
76,Fel4,42.31346,-83.46471,2013-09-27,Central Stoneroller,3,2013,9,27,,13
77,Fel5,42.335263,-83.539831,2014-05-20,Central Stoneroller,3,2014,5,20,,11
78,Fowl3,42.297437,-83.584549,2014-09-05,Central Stoneroller,3,2014,9,5,,10
79,MR-12,42.33975,-83.34093,2015-08-28,Central Stoneroller,3,2015,8,28,,12
80,LR-12,42.282317,-83.466103,2015-09-12,Central Stoneroller,3,2015,9,12,,19
81,Low9,42.283461,-83.505311,2016-08-22,Central Stoneroller,3,2016,8,22,,10
82,Min5,42.510799,-83.378381,2012-05-15,Central Stoneroller,2,2012,5,15,,12
83,Min3,42.500565,-83.37127,2012-05-17,Central Stoneroller,1,2012,5,17,,9
84,See2,42.48927,-83.40099,2012-05-22,Central Stoneroller,1,2012,5,22,,10
85,MR-22,42.43033,-83.544423,2012-05-29,Central Stoneroller,1,2012,5,29,,8
86,LR-12,42.282317,-83.466103,2013-05-31,Central Stoneroller,2,2013,5,31,,18
87,LR-10,42.298506,-83.305839,2014-06-27,Central Stoneroller,2,2014,6,27,,11
88,LR-12,42.282317,-83.466103,2014-08-09,Central Stoneroller,2,2014,8,9,,13
89,MR-13,42.34432,-83.26865,2014-09-26,Central Stoneroller,2,2014,9,26,,6
90,Low5,42.282389,-83.437141,2016-05-19,Central Stoneroller,2,2016,5,19,,13
91,Low4,42.2866039,-83.4756605,2016-05-21,Central Stoneroller,2,2016,5,21,,13
92,Low5,42.282389,-83.437141,2016-08-13,Central Stoneroller,2,2016,8,13,,13
93,Low11,42.2972147,-83.5254371,2016-08-22,Central Stoneroller,2,2016,8,22,,13
94,Peb2,42.51521,-83.34402,2016-10-04,Central Stoneroller,1,2016,10,4,,8
95,John3,42.40844,-83.51693,2012-05-29,Central Stoneroller,1,2012,5,29,,11
96,Fowl2,42.28226,-83.50515,2013-05-10,Central Stoneroller,1,2013,5,10,,8
97,LR-2,42.281962,-83.503009,2013-05-10,Central Stoneroller,1,2013,5,10,,14
98,Fel1,42.35729,-83.53988,2013-05-17,Central Stoneroller,1,2013,5,17,,10
99,LR-5,42.300561,-83.4374797,2013-05-18,Central Stoneroller,1,2013,5,18,,16
100,LR-11,42.309888,-83.24854,2013-06-21,Central Stoneroller,1,2013,6,21,,10
101,Low4,42.2866039,-83.4756605,2013-08-09,Central Stoneroller,1,2013,8,9,,10
102,LR-6,42.285,-83.383888,2013-09-06,Central Stoneroller,1,2013,9,6,,14
103,Low2,42.30724,-83.53793,2014-05-02,Central Stoneroller,1,2014,5,2,,13
104,Fel3,42.349854,-83.540557,2014-05-17,Central Stoneroller,1,2014,5,17,,11
105,Fel6,42.328188,-83.532192,2014-05-20,Central Stoneroller,1,2014,5,20,,11
106,Low6,42.282611,-83.407008,2014-08-02,Central Stoneroller,1,2014,8,2,,9
107,Low7,42.283278,-83.397352,2014-08-02,Central Stoneroller,1,2014,8,2,,9
108,Fowl2,42.28226,-83.50515,2014-08-22,Central Stoneroller,1,2014,8,22,,13
109,Fel3,42.349854,-83.540557,2014-09-06,Central Stoneroller,1,2014,9,6,,11
110,Fel4,42.31346,-83.46471,2014-09-19,Central Stoneroller,1,2014,9,19,,9
111,Low7,42.283278,-83.397352,2015-05-07,Central Stoneroller,1,2015,5,7,,14
112,Low10,42.286124,-83.48359,2015-06-10,Central Stoneroller,1,2015,6,10,,13
113,Low6,42.282611,-83.407008,2015-08-25,Central Stoneroller,1,2015,8,25,,18
114,Ton3,42.334626,-83.418158,2015-08-28,Central Stoneroller,1,2015,8,28,,10
115,Low9,42.283461,-83.505311,2015-08-29,Central Stoneroller,1,2015,8,29,,9
116,Will1,42.33002,-83.46422,2015-10-16,Central Stoneroller,1,2015,10,16,,6
117,MR-12,42.33975,-83.34093,2016-06-24,Central Stoneroller,1,2016,6,24,,8
118,LR-12,42.282317,-83.466103,2016-08-13,Central Stoneroller,1,2016,8,13,,17
119,Low7,42.283278,-83.397352,2016-08-27,Central Stoneroller,1,2016,8,27,,13
120,Bell1,42.42924,-83.39666,2016-09-16,Central Stoneroller,1,2016,9,16,,10
121,Low8,42.285374,-83.388726,2014-08-23,Central Stoneroller,0,2014,8,23,,13
122,Up4,42.40314,-83.28834,2013-10-10,Goldfish,1,2013,10,10,Omnivores,12
123,Up4,42.40314,-83.28834,2013-10-10,Goldfish,1,2013,10,10,Tolerant,12
124,Main8,42.29352,-83.14873,2012-06-15,Goldfish,68,2012,6,15,Omnivores,16
125,Main8,42.29352,-83.14873,2012-06-15,Goldfish,68,2012,6,15,Tolerant,16
126,LR-11A,42.3125679,-83.2415233,2015-05-01,Goldfish,1,2015,5,1,Omnivores,17
127,LR-11A,42.3125679,-83.2415233,2015-05-01,Goldfish,1,2015,5,1,Tolerant,17
128,See3,42.51073,-83.4304,2012-05-18,Redside Dace,1,2012,5,18,Intolerant,13
129,See3,42.51073,-83.4304,2012-05-18,Redside Dace,1,2012,5,18,Insectivores,13
130,John2,42.3938201,-83.5342002,2012-05-25,Redside Dace,1,2012,5,25,Intolerant,13
131,John2,42.3938201,-83.5342002,2012-05-25,Redside Dace,1,2012,5,25,Insectivores,13
132,Up1,42.47526,-83.3854501,2012-05-22,Redside Dace,1,2012,5,22,Intolerant,12
133,Up1,42.47526,-83.3854501,2012-05-22,Redside Dace,1,2012,5,22,Insectivores,12
134,Min2,42.493065,-83.37734,2012-05-17,Redside Dace,1,2012,5,17,Intolerant,13
135,Min2,42.493065,-83.37734,2012-05-17,Redside Dace,1,2012,5,17,Insectivores,13
136,MR-12,42.33975,-83.34093,2015-08-28,Spotfin Shiner,3,2015,8,28,Insectivores,12
137,Main10,42.312949,-83.232347,2013-06-21,Spotfin Shiner,8,2013,6,21,Insectivores,19
138,Main10,42.312949,-83.232347,2014-07-21,Spotfin Shiner,2,2014,7,21,Insectivores,16
139,MR-11,42.34516,-83.3629,2014-09-26,Spotfin Shiner,12,2014,9,26,Insectivores,5
140,MR-4,42.36445,-83.40406,2014-09-26,Spotfin Shiner,18,2014,9,26,Insectivores,7
141,MR-11,42.34516,-83.3629,2015-07-10,Spotfin Shiner,1,2015,7,10,Insectivores,6
142,MR-4,42.36445,-83.40406,2015-07-10,Spotfin Shiner,15,2015,7,10,Insectivores,18
143,MR-18,42.390248,-83.466365,2015-07-11,Spotfin Shiner,3,2015,7,11,Insectivores,13
144,MR-8,42.34893,-83.31455,2015-10-16,Spotfin Shiner,3,2015,10,16,Insectivores,9
145,MR-9,42.34732,-83.29135,2015-10-16,Spotfin Shiner,1,2015,10,16,Insectivores,8
146,MR-17,42.370466,-83.437574,2016-06-16,Spotfin Shiner,10,2016,6,16,Insectivores,11
147,MR-4,42.36445,-83.40406,2016-06-16,Spotfin Shiner,41,2016,6,16,Insectivores,7
148,MR-15,42.3306,-83.2483,2016-06-24,Spotfin Shiner,1,2016,6,24,Insectivores,6
149,LR-11A,42.3125679,-83.2415233,2016-08-26,Spotfin Shiner,2,2016,8,26,Insectivores,20
150,Main4.5,42.53718,-83.22861,2016-09-28,Common Carp,1,2016,9,28,Omnivores,9
151,Main4.5,42.53718,-83.22861,2016-09-28,Common Carp,1,2016,9,28,Tolerant,9
152,Fel4,42.31346,-83.46471,2013-05-18,Common Carp,2,2013,5,18,Omnivores,13
153,Fel4,42.31346,-83.46471,2013-05-18,Common Carp,2,2013,5,18,Tolerant,13
154,Low4,42.2866039,-83.4756605,2015-08-25,Common Carp,2,2015,8,25,Omnivores,21
155,Low4,42.2866039,-83.4756605,2015-08-25,Common Carp,2,2015,8,25,Tolerant,21
156,Main1,42.60991,-83.17984,2016-09-23,Common Carp,1,2016,9,23,Omnivores,15
157,Main1,42.60991,-83.17984,2016-09-23,Common Carp,1,2016,9,23,Tolerant,15
158,Up4,42.40314,-83.28834,2013-10-10,Common Carp,4,2013,10,10,Omnivores,12
159,Up4,42.40314,-83.28834,2013-10-10,Common Carp,4,2013,10,10,Tolerant,12
160,Main5,42.52219,-83.24692,2016-10-06,Common Carp,1,2016,10,6,Omnivores,14
161,Main5,42.52219,-83.24692,2016-10-06,Common Carp,1,2016,10,6,Tolerant,14
162,MR-12,42.33975,-83.34093,2015-08-28,Common Carp,1,2015,8,28,Omnivores,12
163,MR-12,42.33975,-83.34093,2015-08-28,Common Carp,1,2015,8,28,Tolerant,12
164,LR-12,42.282317,-83.466103,2013-05-31,Common Carp,1,2013,5,31,Omnivores,18
165,LR-12,42.282317,-83.466103,2013-05-31,Common Carp,1,2013,5,31,Tolerant,18
166,LR-12,42.282317,-83.466103,2014-08-09,Common Carp,1,2014,8,9,Omnivores,13
167,LR-12,42.282317,-83.466103,2014-08-09,Common Carp,1,2014,8,9,Tolerant,13
168,LR-5,42.300561,-83.4374797,2013-05-18,Common Carp,2,2013,5,18,Omnivores,16
169,LR-5,42.300561,-83.4374797,2013-05-18,Common Carp,2,2013,5,18,Tolerant,16
170,LR-6,42.285,-83.383888,2013-09-06,Common Carp,1,2013,9,6,Omnivores,14
171,LR-6,42.285,-83.383888,2013-09-06,Common Carp,1,2013,9,6,Tolerant,14
172,Low6,42.282611,-83.407008,2015-08-25,Common Carp,5,2015,8,25,Omnivores,18
173,Low6,42.282611,-83.407008,2015-08-25,Common Carp,5,2015,8,25,Tolerant,18
174,Ton3,42.334626,-83.418158,2015-08-28,Common Carp,1,2015,8,28,Omnivores,10
175,Ton3,42.334626,-83.418158,2015-08-28,Common Carp,1,2015,8,28,Tolerant,10
176,Main8,42.29352,-83.14873,2012-06-15,Common Carp,45,2012,6,15,Omnivores,16
177,Main8,42.29352,-83.14873,2012-06-15,Common Carp,45,2012,6,15,Tolerant,16
178,Low6,42.282611,-83.407008,2015-05-29,Common Carp,1,2015,5,29,Omnivores,18
179,Low6,42.282611,-83.407008,2015-05-29,Common Carp,1,2015,5,29,Tolerant,18
180,MR-13,42.34432,-83.26865,2015-07-10,Common Carp,1,2015,7,10,Omnivores,8
181,MR-13,42.34432,-83.26865,2015-07-10,Common Carp,1,2015,7,10,Tolerant,8
182,LR-11A,42.3125679,-83.2415233,2015-08-22,Common Carp,1,2015,8,22,Omnivores,17
183,LR-11A,42.3125679,-83.2415233,2015-08-22,Common Carp,1,2015,8,22,Tolerant,17
184,Ton1,42.36701,-83.49895,2015-08-28,Common Carp,1,2015,8,28,Omnivores,10
185,Ton1,42.36701,-83.49895,2015-08-28,Common Carp,1,2015,8,28,Tolerant,10
186,Wall1,42.44957,-83.46525,2015-09-11,Common Carp,1,2015,9,11,Omnivores,13
187,Wall1,42.44957,-83.46525,2015-09-11,Common Carp,1,2015,9,11,Tolerant,13
188,MR-9,42.34732,-83.29135,2016-06-17,Common Carp,2,2016,6,17,Omnivores,9
189,MR-9,42.34732,-83.29135,2016-06-17,Common Carp,2,2016,6,17,Tolerant,9
190,LR-2,42.281962,-83.503009,2016-08-12,Common Carp,1,2016,8,12,Omnivores,15
191,LR-2,42.281962,-83.503009,2016-08-12,Common Carp,1,2016,8,12,Tolerant,15
192,LR-5,42.300561,-83.4374797,2016-08-25,Common Carp,4,2016,8,25,Omnivores,11
193,LR-5,42.300561,-83.4374797,2016-08-25,Common Carp,4,2016,8,25,Tolerant,11
194,LR-11A,42.3125679,-83.2415233,2016-08-26,Common Carp,1,2016,8,26,Omnivores,20
195,LR-11A,42.3125679,-83.2415233,2016-08-26,Common Carp,1,2016,8,26,Tolerant,20
196,UR-1,42.4111,-83.3029,2016-09-22,Common Carp,1,2016,9,22,Omnivores,10
197,UR-1,42.4111,-83.3029,2016-09-22,Common Carp,1,2016,9,22,Tolerant,10
198,Low5,42.282389,-83.437141,2015-08-14,Common Shiner,3,2015,8,14,Insectivores,12
199,Low5,42.282389,-83.437141,2015-08-14,Common Shiner,3,2015,8,14,Lithophilic,12
200,Low2,42.30724,-83.53793,2014-08-23,Common Shiner,46,2014,8,23,Insectivores,13
201,Low2,42.30724,-83.53793,2014-08-23,Common Shiner,46,2014,8,23,Lithophilic,13
202,Nott,42.51149,-83.26463,2016-10-03,Common Shiner,1,2016,10,3,Insectivores,10
203,Nott,42.51149,-83.26463,2016-10-03,Common Shiner,1,2016,10,3,Lithophilic,10
204,Up2,42.4632161,-83.3682334,2013-10-10,Common Shiner,72,2013,10,10,Insectivores,14
205,Up2,42.4632161,-83.3682334,2013-10-10,Common Shiner,72,2013,10,10,Lithophilic,14
206,Peb3,42.500849,-83.324474,2016-10-04,Common Shiner,1,2016,10,4,Insectivores,8
207,Peb3,42.500849,-83.324474,2016-10-04,Common Shiner,1,2016,10,4,Lithophilic,8
208,Main4.5,42.53718,-83.22861,2016-09-28,Common Shiner,1,2016,9,28,Insectivores,9
209,Main4.5,42.53718,-83.22861,2016-09-28,Common Shiner,1,2016,9,28,Lithophilic,9
210,Main6,42.47882,-83.284548,2015-09-18,Common Shiner,23,2015,9,18,Insectivores,11
211,Main6,42.47882,-83.284548,2015-09-18,Common Shiner,23,2015,9,18,Lithophilic,11
212,Main3,42.5487974,-83.2177051,2016-09-28,Common Shiner,1,2016,9,28,Insectivores,10
213,Main3,42.5487974,-83.2177051,2016-09-28,Common Shiner,1,2016,9,28,Lithophilic,10
214,Peb4,42.4716,-83.30391,2016-10-04,Common Shiner,2,2016,10,4,Insectivores,11
215,Peb4,42.4716,-83.30391,2016-10-04,Common Shiner,2,2016,10,4,Lithophilic,11
216,Fel4,42.31346,-83.46471,2013-05-18,Common Shiner,186,2013,5,18,Insectivores,13
217,Fel4,42.31346,-83.46471,2013-05-18,Common Shiner,186,2013,5,18,Lithophilic,13
218,LR-8,42.295976,-83.541846,2014-09-05,Common Shiner,39,2014,9,5,Insectivores,12
219,LR-8,42.295976,-83.541846,2014-09-05,Common Shiner,39,2014,9,5,Lithophilic,12
220,See3,42.51073,-83.4304,2012-05-18,Common Shiner,41,2012,5,18,Insectivores,13
221,See3,42.51073,-83.4304,2012-05-18,Common Shiner,41,2012,5,18,Lithophilic,13
222,Low4,42.2866039,-83.4756605,2015-08-25,Common Shiner,1,2015,8,25,Insectivores,21
223,Low4,42.2866039,-83.4756605,2015-08-25,Common Shiner,1,2015,8,25,Lithophilic,21
224,Low2,42.30724,-83.53793,2013-09-13,Common Shiner,19,2013,9,13,Insectivores,13
225,Low2,42.30724,-83.53793,2013-09-13,Common Shiner,19,2013,9,13,Lithophilic,13
226,LR-8,42.295976,-83.541846,2014-05-02,Common Shiner,52,2014,5,2,Insectivores,12
227,LR-8,42.295976,-83.541846,2014-05-02,Common Shiner,52,2014,5,2,Lithophilic,12
228,LR-12,42.282317,-83.466103,2016-05-19,Common Shiner,7,2016,5,19,Insectivores,17
229,LR-12,42.282317,-83.466103,2016-05-19,Common Shiner,7,2016,5,19,Lithophilic,17
230,Min4,42.526938,-83.421444,2012-05-15,Common Shiner,1,2012,5,15,Insectivores,11
231,Min4,42.526938,-83.421444,2012-05-15,Common Shiner,1,2012,5,15,Lithophilic,11
232,Up1,42.47526,-83.3854501,2012-05-22,Common Shiner,2,2012,5,22,Insectivores,12
233,Up1,42.47526,-83.3854501,2012-05-22,Common Shiner,2,2012,5,22,Lithophilic,12
234,LR-8,42.295976,-83.541846,2013-09-13,Common Shiner,99,2013,9,13,Insectivores,10
235,LR-8,42.295976,-83.541846,2013-09-13,Common Shiner,99,2013,9,13,Lithophilic,10
236,Main1,42.60991,-83.17984,2016-09-23,Common Shiner,1,2016,9,23,Insectivores,15
237,Main1,42.60991,-83.17984,2016-09-23,Common Shiner,1,2016,9,23,Lithophilic,15
238,Up2,42.4632161,-83.3682334,2012-05-22,Common Shiner,39,2012,5,22,Insectivores,12
239,Up2,42.4632161,-83.3682334,2012-05-22,Common Shiner,39,2012,5,22,Lithophilic,12
240,Low4,42.2866039,-83.4756605,2015-05-29,Common Shiner,9,2015,5,29,Insectivores,21
241,Low4,42.2866039,-83.4756605,2015-05-29,Common Shiner,9,2015,5,29,Lithophilic,21
242,LR-12,42.282317,-83.466103,2014-07-11,Common Shiner,3,2014,7,11,Insectivores,13
243,LR-12,42.282317,-83.466103,2014-07-11,Common Shiner,3,2014,7,11,Lithophilic,13
244,Up4,42.40314,-83.28834,2013-10-10,Common Shiner,12,2013,10,10,Insectivores,12
245,Up4,42.40314,-83.28834,2013-10-10,Common Shiner,12,2013,10,10,Lithophilic,12
246,LR-10,42.298506,-83.305839,2012-11-23,Common Shiner,1,2012,11,23,Insectivores,10
247,LR-10,42.298506,-83.305839,2012-11-23,Common Shiner,1,2012,11,23,Lithophilic,10
248,Low8,42.285374,-83.388726,2015-08-01,Common Shiner,4,2015,8,1,Insectivores,10
249,Low8,42.285374,-83.388726,2015-08-01,Common Shiner,4,2015,8,1,Lithophilic,10
250,Low4,42.2866039,-83.4756605,2015-08-15,Common Shiner,1,2015,8,15,Insectivores,21
251,Low4,42.2866039,-83.4756605,2015-08-15,Common Shiner,1,2015,8,15,Lithophilic,21
252,Sprag,42.6159714,-83.1920726,2016-09-23,Common Shiner,1,2016,9,23,Insectivores,8
253,Sprag,42.6159714,-83.1920726,2016-09-23,Common Shiner,1,2016,9,23,Lithophilic,8
254,SeeBosch,42.491667,-83.421528,2012-06-19,Common Shiner,1,2012,6,19,Insectivores,11
255,SeeBosch,42.491667,-83.421528,2012-06-19,Common Shiner,1,2012,6,19,Lithophilic,11
256,Fel4,42.31346,-83.46471,2014-06-13,Common Shiner,55,2014,6,13,Insectivores,9
257,Fel4,42.31346,-83.46471,2014-06-13,Common Shiner,55,2014,6,13,Lithophilic,9
258,MR-20,42.411952,-83.471703,2015-06-19,Common Shiner,1,2015,6,19,Insectivores,12
259,MR-20,42.411952,-83.471703,2015-06-19,Common Shiner,1,2015,6,19,Lithophilic,12
260,Main13,42.59005,-83.18976,2016-09-23,Common Shiner,1,2016,9,23,Insectivores,11
261,Main13,42.59005,-83.18976,2016-09-23,Common Shiner,1,2016,9,23,Lithophilic,11
262,Min2,42.493065,-83.37734,2012-05-17,Common Shiner,2,2012,5,17,Insectivores,13
263,Min2,42.493065,-83.37734,2012-05-17,Common Shiner,2,2012,5,17,Lithophilic,13
264,Min3A,42.50056,-83.3732,2012-05-17,Common Shiner,1,2012,5,17,Insectivores,10
265,Min3A,42.50056,-83.3732,2012-05-17,Common Shiner,1,2012,5,17,Lithophilic,10
266,LR-12,42.282317,-83.466103,2013-08-09,Common Shiner,14,2013,8,9,Insectivores,18
267,LR-12,42.282317,-83.466103,2013-08-09,Common Shiner,14,2013,8,9,Lithophilic,18
268,LR-1,42.280425,-83.42027,2014-08-08,Common Shiner,12,2014,8,8,Insectivores,10
269,LR-1,42.280425,-83.42027,2014-08-08,Common Shiner,12,2014,8,8,Lithophilic,10
270,Low4,42.2866039,-83.4756605,2014-08-09,Common Shiner,2,2014,8,9,Insectivores,11
271,Low4,42.2866039,-83.4756605,2014-08-09,Common Shiner,2,2014,8,9,Lithophilic,11
272,LR-10,42.298506,-83.305839,2015-05-01,Common Shiner,1,2015,5,1,Insectivores,18
273,LR-10,42.298506,-83.305839,2015-05-01,Common Shiner,1,2015,5,1,Lithophilic,18
274,LR-12,42.282317,-83.466103,2015-05-29,Common Shiner,9,2015,5,29,Insectivores,19
275,LR-12,42.282317,-83.466103,2015-05-29,Common Shiner,9,2015,5,29,Lithophilic,19
276,LR-12,42.282317,-83.466103,2015-08-14,Common Shiner,5,2015,8,14,Insectivores,19
277,LR-12,42.282317,-83.466103,2015-08-14,Common Shiner,5,2015,8,14,Lithophilic,19
278,Main5,42.52219,-83.24692,2016-10-06,Common Shiner,2,2016,10,6,Insectivores,14
279,Main5,42.52219,-83.24692,2016-10-06,Common Shiner,2,2016,10,6,Lithophilic,14
280,LR-8,42.295976,-83.541846,2013-05-11,Common Shiner,14,2013,5,11,Insectivores,10
281,LR-8,42.295976,-83.541846,2013-05-11,Common Shiner,14,2013,5,11,Lithophilic,10
282,Low7,42.283278,-83.397352,2013-08-02,Common Shiner,10,2013,8,2,Insectivores,11
283,Low7,42.283278,-83.397352,2013-08-02,Common Shiner,10,2013,8,2,Lithophilic,11
284,Fel4,42.31346,-83.46471,2013-09-27,Common Shiner,29,2013,9,27,Insectivores,13
285,Fel4,42.31346,-83.46471,2013-09-27,Common Shiner,29,2013,9,27,Lithophilic,13
286,MR-12,42.33975,-83.34093,2015-08-28,Common Shiner,24,2015,8,28,Insectivores,12
287,MR-12,42.33975,-83.34093,2015-08-28,Common Shiner,24,2015,8,28,Lithophilic,12
288,LR-12,42.282317,-83.466103,2015-09-12,Common Shiner,2,2015,9,12,Insectivores,19
289,LR-12,42.282317,-83.466103,2015-09-12,Common Shiner,2,2015,9,12,Lithophilic,19
