,FIELDID,Latitude,Longitude,Date,SQI,SQI_Rating
309,Ing1,42.46293,-83.44552,2022-09-15,27,Fair
310,Ing1,42.46293,-83.44552,2021-09-15,31,Fair
311,Ing1,42.46293,-83.44552,2020-09-15,24,Fair
312,Ing1,42.46293,-83.44552,2019-09-15,28,Fair
314,Ing1,42.46293,-83.44552,2017-09-15,21,Fair
315,Ing1,42.46293,-83.44552,2016-09-15,21,Fair
316,Ing1,42.46293,-83.44552,2015-09-15,5,Poor
318,Ing1,42.46293,-83.44552,2013-09-15,32,Fair
319,Ing1,42.46293,-83.44552,2012-09-15,36,Good
321,Ing1,42.46293,-83.44552,2010-09-15,28,Fair
322,Ing1,42.46293,-83.44552,2009-09-15,29,Fair
324,Ing1,42.46293,-83.44552,2007-09-15,36,Good
326,Ing1,42.46293,-83.44552,2005-09-15,31,Fair
328,Ing1,42.46293,-83.44552,2003-09-15,42,Good
331,John1,42.3897,-83.58194,2022-09-15,34,Good
332,John1,42.3897,-83.58194,2021-09-15,36,Good
333,John1,42.3897,-83.58194,2020-09-15,41,Good
334,John1,42.3897,-83.58194,2019-09-15,51,Excellent
338,John1,42.3897,-83.58194,2015-09-15,30,Fair
340,John1,42.3897,-83.58194,2013-09-15,49,Excellent
342,John1,42.3897,-83.58194,2011-09-15,39,Good
344,John1,42.3897,-83.58194,2009-09-15,47,Good
347,John1,42.3897,-83.58194,2006-09-15,39,Good
348,John1,42.3897,-83.58194,2005-09-15,35,Good
349,John1,42.3897,-83.58194,2004-09-15,24,Fair
350,John1,42.3897,-83.58194,2003-09-15,15,Poor
351,John1,42.3897,-83.58194,2002-09-15,41,Good
352,John1,42.3897,-83.58194,2001-09-15,27,Fair
353,John2,42.3938201,-83.5342002,2022-09-15,38,Good
354,John2,42.3938201,-83.5342002,2021-09-15,33,Fair
355,John2,42.3938201,-83.5342002,2020-09-15,42,Good
356,John2,42.3938201,-83.5342002,2019-09-15,48,Good
360,John2,42.3938201,-83.5342002,2015-09-15,37,Good
362,John2,42.3938201,-83.5342002,2013-09-15,47,Good
364,John2,42.3938201,-83.5342002,2011-09-15,40,Good
366,John2,42.3938201,-83.5342002,2009-09-15,46,Good
368,John2,42.3938201,-83.5342002,2007-09-15,47,Good
369,John2,42.3938201,-83.5342002,2006-09-15,40,Good
370,John2,42.3938201,-83.5342002,2005-09-15,37,Good
371,John2,42.3938201,-83.5342002,2004-09-15,33,Fair
372,John2,42.3938201,-83.5342002,2003-09-15,43,Good
373,John2,42.3938201,-83.5342002,2002-09-15,24,Fair
374,John2,42.3938201,-83.5342002,2001-09-15,18,Poor
375,John3,42.40844,-83.51693,2022-09-15,39,Good
376,John3,42.40844,-83.51693,2021-09-15,34,Good
377,John3,42.40844,-83.51693,2020-09-15,31,Fair
379,John3,42.40844,-83.51693,2018-09-15,44,Good
381,John3,42.40844,-83.51693,2016-09-15,34,Good
384,John3,42.40844,-83.51693,2013-09-15,31,Fair
386,John3,42.40844,-83.51693,2011-09-15,30,Fair
388,John3,42.40844,-83.51693,2009-09-15,51,Excellent
390,John3,42.40844,-83.51693,2007-09-15,51,Excellent
391,John3,42.40844,-83.51693,2006-09-15,31,Fair
392,John3,42.40844,-83.51693,2005-09-15,30,Fair
393,John3,42.40844,-83.51693,2004-09-15,26,Fair
394,John3,42.40844,-83.51693,2003-09-15,26,Fair
395,John3,42.40844,-83.51693,2002-09-15,35,Good
396,John3,42.40844,-83.51693,2001-09-15,9,Poor
398,John5,42.4224,-83.49289,2021-09-15,37,Good
399,John5,42.4224,-83.49289,2020-09-15,36,Good
401,John5,42.4224,-83.49289,2018-09-15,29,Fair
402,John5,42.4224,-83.49289,2017-09-15,41,Good
405,John5,42.4224,-83.49289,2014-09-15,40,Good
407,John5,42.4224,-83.49289,2012-09-15,39,Good
408,John5,42.4224,-83.49289,2011-09-15,21,Fair
412,John5,42.4224,-83.49289,2007-09-15,39,Good
413,John5,42.4224,-83.49289,2006-09-15,29,Fair
414,John5,42.4224,-83.49289,2005-09-15,40,Good
415,John5,42.4224,-83.49289,2004-09-15,25,Fair
416,John5,42.4224,-83.49289,2003-09-15,30,Fair
417,John5,42.4224,-83.49289,2002-09-15,29,Fair
423,John6,42.42546,-83.48138,2018-09-15,37,Good
425,John6,42.42546,-83.48138,2016-09-15,39,Good
427,John6,42.42546,-83.48138,2014-09-15,42,Good
428,John6,42.42546,-83.48138,2013-09-15,28,Fair
430,John6,42.42546,-83.48138,2011-09-15,47,Good
432,John6,42.42546,-83.48138,2009-09-15,45,Good
433,John6,42.42546,-83.48138,2008-09-15,42,Good
436,John6,42.42546,-83.48138,2005-09-15,32,Fair
441,John7,42.3985716,-83.5279588,2022-09-15,25,Fair
442,John7,42.3985716,-83.5279588,2021-09-15,40,Good
443,John7,42.3985716,-83.5279588,2020-09-15,28,Fair
445,John7,42.3985716,-83.5279588,2018-09-15,39,Good
446,John7,42.3985716,-83.5279588,2017-09-15,33,Fair
448,John7,42.3985716,-83.5279588,2015-09-15,48,Good
449,John7,42.3985716,-83.5279588,2014-09-15,34,Good
451,John7,42.3985716,-83.5279588,2012-09-15,31,Fair
454,John7,42.3985716,-83.5279588,2009-09-15,37,Good
455,John7,42.3985716,-83.5279588,2008-09-15,31,Fair
456,John7,42.3985716,-83.5279588,2007-09-15,31,Fair
464,John8,42.42148,-83.54396,2021-09-15,50,Excellent
467,John8,42.42148,-83.54396,2018-09-15,35,Good
471,John8,42.42148,-83.54396,2014-09-15,52,Excellent
473,John8,42.42148,-83.54396,2012-09-15,41,Good
474,John8,42.42148,-83.54396,2011-09-15,51,Excellent
475,John8,42.42148,-83.54396,2010-09-15,53,Excellent
507,Low2,42.30724,-83.53793,2022-09-15,33,Fair
508,Low2,42.30724,-83.53793,2021-09-15,26,Fair
509,Low2,42.30724,-83.53793,2020-09-15,25,Fair
510,Low2,42.30724,-83.53793,2019-09-15,25,Fair
511,Low2,42.30724,-83.53793,2018-09-15,26,Fair
513,Low2,42.30724,-83.53793,2016-09-15,15,Poor
515,Low2,42.30724,-83.53793,2014-09-15,23,Fair
516,Low2,42.30724,-83.53793,2013-09-15,28,Fair
518,Low2,42.30724,-83.53793,2011-09-15,30,Fair
521,Low2,42.30724,-83.53793,2008-09-15,34,Good
523,Low2,42.30724,-83.53793,2006-09-15,41,Good
524,Low2,42.30724,-83.53793,2005-09-15,38,Good
525,Low2,42.30724,-83.53793,2004-09-15,25,Fair
535,Low3,42.3227,-83.565967,2016-09-15,15,Poor
537,Low3,42.3227,-83.565967,2014-09-15,41,Good
538,Low3,42.3227,-83.565967,2013-09-15,27,Fair
555,Low4,42.2866039,-83.4756605,2018-09-15,20,Fair
556,Low4,42.2866039,-83.4756605,2017-09-15,12,Poor
559,Low4,42.2866039,-83.4756605,2014-09-15,22,Fair
560,Low4,42.2866039,-83.4756605,2013-09-15,28,Fair
617,LR-1,42.280425,-83.42027,2022-09-15,30,Fair
621,LR-1,42.280425,-83.42027,2018-09-15,31,Fair
623,LR-1,42.280425,-83.42027,2016-09-15,37,Good
624,LR-1,42.280425,-83.42027,2015-09-15,27,Fair
625,LR-1,42.280425,-83.42027,2014-09-15,34,Good
626,LR-1,42.280425,-83.42027,2013-09-15,25,Fair
630,LR-1,42.280425,-83.42027,2009-09-15,26,Fair
631,LR-1,42.280425,-83.42027,2008-09-15,36,Good
632,LR-1,42.280425,-83.42027,2007-09-15,20,Fair
633,LR-1,42.280425,-83.42027,2006-09-15,30,Fair
634,LR-1,42.280425,-83.42027,2005-09-15,18,Poor
643,LR-10,42.298506,-83.305839,2018-09-15,13,Poor
644,LR-10,42.298506,-83.305839,2017-09-15,17,Poor
646,LR-10,42.298506,-83.305839,2015-09-15,33,Fair
647,LR-10,42.298506,-83.305839,2014-09-15,23,Fair
648,LR-10,42.298506,-83.305839,2013-09-15,19,Poor
649,LR-10,42.298506,-83.305839,2012-09-15,22,Fair
650,LR-10,42.298506,-83.305839,2011-09-15,32,Fair
651,LR-10,42.298506,-83.305839,2010-09-15,31,Fair
671,LR-11,42.309888,-83.24854,2012-09-15,25,Fair
672,LR-11,42.309888,-83.24854,2011-09-15,21,Fair
673,LR-11,42.309888,-83.24854,2010-09-15,18,Poor
687,LR-11A,42.3125679,-83.2415233,2018-09-15,19,Poor
688,LR-11A,42.3125679,-83.2415233,2017-09-15,20,Fair
689,LR-11A,42.3125679,-83.2415233,2016-09-15,28,Fair
691,LR-11A,42.3125679,-83.2415233,2014-09-15,29,Fair
705,LR-12,42.282317,-83.466103,2022-09-15,33,Fair
708,LR-12,42.282317,-83.466103,2019-09-15,39,Good
709,LR-12,42.282317,-83.466103,2018-09-15,25,Fair
710,LR-12,42.282317,-83.466103,2017-09-15,29,Fair
712,LR-12,42.282317,-83.466103,2015-09-15,30,Fair
713,LR-12,42.282317,-83.466103,2014-09-15,30,Fair
714,LR-12,42.282317,-83.466103,2013-09-15,40,Good
715,LR-12,42.282317,-83.466103,2012-09-15,37,Good
734,LR-2,42.281962,-83.503009,2015-09-15,25,Fair
735,LR-2,42.281962,-83.503009,2014-09-15,31,Fair
736,LR-2,42.281962,-83.503009,2013-09-15,21,Fair
737,LR-2,42.281962,-83.503009,2012-09-15,27,Fair
742,LR-2,42.281962,-83.503009,2007-09-15,32,Fair
743,LR-2,42.281962,-83.503009,2006-09-15,40,Good
744,LR-2,42.281962,-83.503009,2005-09-15,24,Fair
749,LR-3,42.284848,-83.381855,2022-09-15,23,Fair
753,LR-3,42.284848,-83.381855,2018-09-15,22,Fair
754,LR-3,42.284848,-83.381855,2017-09-15,28,Fair
756,LR-3,42.284848,-83.381855,2015-09-15,24,Fair
757,LR-3,42.284848,-83.381855,2014-09-15,34,Good
758,LR-3,42.284848,-83.381855,2013-09-15,23,Fair
759,LR-3,42.284848,-83.381855,2012-09-15,26,Fair
760,LR-3,42.284848,-83.381855,2011-09-15,23,Fair
761,LR-3,42.284848,-83.381855,2010-09-15,22,Fair
764,LR-3,42.284848,-83.381855,2007-09-15,35,Good
765,LR-3,42.284848,-83.381855,2006-09-15,30,Fair
766,LR-3,42.284848,-83.381855,2005-09-15,35,Good
776,LR-4,42.288775,-83.3486,2017-09-15,23,Fair
786,LR-4,42.288775,-83.3486,2007-09-15,25,Fair
787,LR-4,42.288775,-83.3486,2006-09-15,25,Fair
788,LR-4,42.288775,-83.3486,2005-09-15,24,Fair
800,LR-5,42.300561,-83.4374797,2015-09-15,21,Fair
802,LR-5,42.300561,-83.4374797,2013-09-15,24,Fair
807,LR-5,42.300561,-83.4374797,2008-09-15,25,Fair
808,LR-5,42.300561,-83.4374797,2007-09-15,31,Fair
809,LR-5,42.300561,-83.4374797,2006-09-15,40,Good
820,LR-6,42.285,-83.383888,2017-09-15,24,Fair
822,LR-6,42.285,-83.383888,2015-09-15,25,Fair
823,LR-6,42.285,-83.383888,2014-09-15,25,Fair
824,LR-6,42.285,-83.383888,2013-09-15,25,Fair
825,LR-6,42.285,-83.383888,2012-09-15,21,Fair
826,LR-6,42.285,-83.383888,2011-09-15,18,Poor
828,LR-6,42.285,-83.383888,2009-09-15,24,Fair
829,LR-6,42.285,-83.383888,2008-09-15,24,Fair
830,LR-6,42.285,-83.383888,2007-09-15,20,Fair
843,LR-7,42.2484,-83.4248,2016-09-15,31,Fair
848,LR-7,42.2484,-83.4248,2011-09-15,31,Fair
850,LR-7,42.2484,-83.4248,2009-09-15,30,Fair
851,LR-7,42.2484,-83.4248,2008-09-15,25,Fair
852,LR-7,42.2484,-83.4248,2007-09-15,40,Good
859,LR-8,42.295976,-83.541846,2022-09-15,32,Fair
863,LR-8,42.295976,-83.541846,2018-09-15,35,Good
864,LR-8,42.295976,-83.541846,2017-09-15,36,Good
867,LR-8,42.295976,-83.541846,2014-09-15,25,Fair
868,LR-8,42.295976,-83.541846,2013-09-15,25,Fair
870,LR-8,42.295976,-83.541846,2011-09-15,43,Good
871,LR-8,42.295976,-83.541846,2010-09-15,23,Fair
872,LR-8,42.295976,-83.541846,2009-09-15,30,Fair
873,LR-8,42.295976,-83.541846,2008-09-15,38,Good
881,LR-9,42.3370903,-83.5085406,2022-09-15,5,Poor
893,LR-9,42.3370903,-83.5085406,2010-09-15,31,Fair
894,LR-9,42.3370903,-83.5085406,2009-09-15,49,Excellent
895,LR-9,42.3370903,-83.5085406,2008-09-15,44,Good
903,Bell1,42.42924,-83.39666,2022-09-15,15,Poor
904,Bell1,42.42924,-83.39666,2021-09-15,27,Fair
905,Bell1,42.42924,-83.39666,2020-09-15,13,Poor
906,Bell1,42.42924,-83.39666,2019-09-15,21,Fair
908,Bell1,42.42924,-83.39666,2017-09-15,26,Fair
910,Bell1,42.42924,-83.39666,2015-09-15,22,Fair
911,Bell1,42.42924,-83.39666,2014-09-15,22,Fair
913,Bell1,42.42924,-83.39666,2012-09-15,22,Fair
915,Bell1,42.42924,-83.39666,2010-09-15,14,Poor
917,Bell1,42.42924,-83.39666,2008-09-15,21,Fair
919,Bell1,42.42924,-83.39666,2006-09-15,18,Poor
920,Bell1,42.42924,-83.39666,2005-09-15,21,Fair
921,Bell1,42.42924,-83.39666,2004-09-15,21,Fair
922,Bell1,42.42924,-83.39666,2003-09-15,27,Fair
925,Bell2,42.4151185,-83.429007,2022-09-15,19,Poor
926,Bell2,42.4151185,-83.429007,2021-09-15,32,Fair
927,Bell2,42.4151185,-83.429007,2020-09-15,19,Poor
928,Bell2,42.4151185,-83.429007,2019-09-15,10,Poor
929,Bell2,42.4151185,-83.429007,2018-09-15,17,Poor
930,Bell2,42.4151185,-83.429007,2017-09-15,18,Poor
931,Bell2,42.4151185,-83.429007,2016-09-15,24,Fair
932,Bell2,42.4151185,-83.429007,2015-09-15,18,Poor
933,Bell2,42.4151185,-83.429007,2014-09-15,30,Fair
934,Bell2,42.4151185,-83.429007,2013-09-15,19,Poor
935,Bell2,42.4151185,-83.429007,2012-09-15,30,Fair
936,Bell2,42.4151185,-83.429007,2011-09-15,24,Fair
937,Bell2,42.4151185,-83.429007,2010-09-15,35,Good
938,Bell2,42.4151185,-83.429007,2009-09-15,36,Good
939,Bell2,42.4151185,-83.429007,2008-09-15,28,Fair
940,Bell2,42.4151185,-83.429007,2007-09-15,18,Poor
941,Bell2,42.4151185,-83.429007,2006-09-15,29,Fair
942,Bell2,42.4151185,-83.429007,2005-09-15,24,Fair
944,Bell2,42.4151185,-83.429007,2003-09-15,31,Fair
947,Bell3,42.41015,-83.39285,2022-09-15,18,Poor
948,Bell3,42.41015,-83.39285,2021-09-15,33,Fair
949,Bell3,42.41015,-83.39285,2020-09-15,26,Fair
950,Bell3,42.41015,-83.39285,2019-09-15,31,Fair
952,Bell3,42.41015,-83.39285,2017-09-15,26,Fair
954,Bell3,42.41015,-83.39285,2015-09-15,19,Poor
955,Bell3,42.41015,-83.39285,2014-09-15,11,Poor
957,Bell3,42.41015,-83.39285,2012-09-15,20,Fair
959,Bell3,42.41015,-83.39285,2010-09-15,16,Poor
961,Bell3,42.41015,-83.39285,2008-09-15,12,Poor
962,Bell3,42.41015,-83.39285,2007-09-15,34,Good
964,Bell3,42.41015,-83.39285,2005-09-15,19,Poor
965,Bell3,42.41015,-83.39285,2004-09-15,27,Fair
969,Main1,42.60991,-83.17984,2022-09-15,17,Poor
970,Main1,42.60991,-83.17984,2021-09-15,33,Fair
971,Main1,42.60991,-83.17984,2020-09-15,22,Fair
975,Main1,42.60991,-83.17984,2016-09-15,33,Fair
977,Main1,42.60991,-83.17984,2014-09-15,28,Fair
980,Main1,42.60991,-83.17984,2011-09-15,15,Poor
983,Main1,42.60991,-83.17984,2008-09-15,25,Fair
984,Main1,42.60991,-83.17984,2007-09-15,23,Fair
985,Main1,42.60991,-83.17984,2006-09-15,20,Fair
1000,Main10,42.312949,-83.232347,2013-09-15,22,Fair
1039,Main3,42.5487974,-83.2177051,2018-09-15,26,Fair
1041,Main3,42.5487974,-83.2177051,2016-09-15,25,Fair
1044,Main3,42.5487974,-83.2177051,2013-09-15,35,Good
1046,Main3,42.5487974,-83.2177051,2011-09-15,38,Good
1048,Main3,42.5487974,-83.2177051,2009-09-15,37,Good
1049,Main3,42.5487974,-83.2177051,2008-09-15,27,Fair
1050,Main3,42.5487974,-83.2177051,2007-09-15,36,Good
1061,Main4,42.5424121,-83.2251341,2018-09-15,15,Poor
1063,Main4,42.5424121,-83.2251341,2016-09-15,32,Fair
1067,Main4,42.5424121,-83.2251341,2012-09-15,39,Good
1069,Main4,42.5424121,-83.2251341,2010-09-15,38,Good
1071,Main4,42.5424121,-83.2251341,2008-09-15,36,Good
1073,Main4,42.5424121,-83.2251341,2006-09-15,36,Good
1074,Main4,42.5424121,-83.2251341,2005-09-15,30,Fair
1075,Main4,42.5424121,-83.2251341,2004-09-15,37,Good
1076,Main4,42.5424121,-83.2251341,2003-09-15,43,Good
1077,Main4,42.5424121,-83.2251341,2002-09-15,46,Good
1078,Main4,42.5424121,-83.2251341,2001-09-15,21,Fair
1082,Main4.5,42.53718,-83.22861,2019-09-15,43,Good
1084,Main4.5,42.53718,-83.22861,2017-09-15,39,Good
1086,Main4.5,42.53718,-83.22861,2015-09-15,29,Fair
1088,Main4.5,42.53718,-83.22861,2013-09-15,24,Fair
1090,Main4.5,42.53718,-83.22861,2011-09-15,27,Fair
1093,Main4.5,42.53718,-83.22861,2008-09-15,31,Fair
1094,Main4.5,42.53718,-83.22861,2007-09-15,24,Fair
1095,Main4.5,42.53718,-83.22861,2006-09-15,49,Excellent
1096,Main4.5,42.53718,-83.22861,2005-09-15,37,Good
1101,Main5,42.52219,-83.24692,2022-09-15,34,Good
1102,Main5,42.52219,-83.24692,2021-09-15,35,Good
1103,Main5,42.52219,-83.24692,2020-09-15,22,Fair
1104,Main5,42.52219,-83.24692,2019-09-15,30,Fair
1106,Main5,42.52219,-83.24692,2017-09-15,23,Fair
1108,Main5,42.52219,-83.24692,2015-09-15,24,Fair
1110,Main5,42.52219,-83.24692,2013-09-15,31,Fair
1112,Main5,42.52219,-83.24692,2011-09-15,22,Fair
1113,Main5,42.52219,-83.24692,2010-09-15,39,Good
1116,Main5,42.52219,-83.24692,2007-09-15,22,Fair
1118,Main5,42.52219,-83.24692,2005-09-15,33,Fair
1119,Main5,42.52219,-83.24692,2004-09-15,37,Good
1123,Main6,42.47882,-83.284548,2022-09-15,32,Fair
1125,Main6,42.47882,-83.284548,2020-09-15,28,Fair
1126,Main6,42.47882,-83.284548,2019-09-15,31,Fair
1128,Main6,42.47882,-83.284548,2017-09-15,29,Fair
1129,Main6,42.47882,-83.284548,2016-09-15,31,Fair
1130,Main6,42.47882,-83.284548,2015-09-15,30,Fair
1132,Main6,42.47882,-83.284548,2013-09-15,31,Fair
1133,Main6,42.47882,-83.284548,2012-09-15,40,Good
1134,Main6,42.47882,-83.284548,2011-09-15,36,Good
1135,Main6,42.47882,-83.284548,2010-09-15,36,Good
1136,Main6,42.47882,-83.284548,2009-09-15,35,Good
1139,Main6,42.47882,-83.284548,2006-09-15,27,Fair
1141,Main6,42.47882,-83.284548,2004-09-15,35,Good
1142,Main6,42.47882,-83.284548,2003-09-15,39,Good
1143,Main6,42.47882,-83.284548,2002-09-15,38,Good
1150,Main7,42.472849,-83.289147,2017-09-15,32,Fair
1153,Main7,42.472849,-83.289147,2014-09-15,30,Fair
1154,Main7,42.472849,-83.289147,2013-09-15,29,Fair
1155,Main7,42.472849,-83.289147,2012-09-15,19,Poor
1156,Main7,42.472849,-83.289147,2011-09-15,14,Poor
1157,Main7,42.472849,-83.289147,2010-09-15,27,Fair
1171,Main8,42.29352,-83.14873,2018-09-15,31,Fair
1173,Main8,42.29352,-83.14873,2016-09-15,16,Poor
1174,Main8,42.29352,-83.14873,2015-09-15,16,Poor
1176,Main8,42.29352,-83.14873,2013-09-15,21,Fair
1177,Main8,42.29352,-83.14873,2012-09-15,23,Fair
1178,Main8,42.29352,-83.14873,2011-09-15,26,Fair
1179,Main8,42.29352,-83.14873,2010-09-15,26,Fair
1197,Mid1,42.42177,-83.47546,2014-09-15,38,Good
1199,Mid1,42.42177,-83.47546,2012-09-15,37,Good
1202,Mid1,42.42177,-83.47546,2009-09-15,38,Good
1203,Mid1,42.42177,-83.47546,2008-09-15,25,Fair
1204,Mid1,42.42177,-83.47546,2007-09-15,28,Fair
1279,Min1,42.51274,-83.38905,2020-09-15,16,Poor
1280,Min1,42.51274,-83.38905,2019-09-15,20,Fair
1282,Min1,42.51274,-83.38905,2017-09-15,21,Fair
1284,Min1,42.51274,-83.38905,2015-09-15,20,Fair
1287,Min1,42.51274,-83.38905,2012-09-15,27,Fair
1291,Min1,42.51274,-83.38905,2008-09-15,42,Good
1293,Min1,42.51274,-83.38905,2006-09-15,25,Fair
1295,Min1,42.51274,-83.38905,2004-09-15,29,Fair
1296,Min1,42.51274,-83.38905,2003-09-15,27,Fair
1306,Min2,42.493065,-83.37734,2015-09-15,14,Poor
1309,Min2,42.493065,-83.37734,2012-09-15,23,Fair
