"SampID","Taxon","AbundanceCat","AbundanceCount"
"1079","Tipulidae","rare",""
"1079","Ancylidae","rare",""
"1079","Sphaeriidae","rare",""
"1079","Decapoda","rare",""
"1079","Amphipoda","rare",""
"1079","Oligochaeta","rare",""
"1080","Hydropsychidae","common",""
"1080","Calopterygidae","rare",""
"1080","Coenagrionidae","rare",""
"1080","Chironomidae","common",""
"1080","Simuliidae","common",""
"1080","Sphaeriidae","rare",""
"1080","Decapoda","rare",""
"1080","Amphipoda","rare",""
"1080","Oligochaeta","rare",""
"1080","Hirudinea","rare",""
"1081","Baetidae","rare",""
"1081","Heptageniidae","rare",""
"1144","Capniidae","present",""
"1145","Capniidae","present",""
"1146","Capniidae","present",""
"1147","Capniidae","present",""
"1148","Capniidae","present",""
"1149","Perlodidae","present",""
"1150","Capniidae","present",""
"1146","Taeniopterygidae","present",""
"1151","Capniidae","present",""
"1153","Capniidae","present",""
"1154","Capniidae","present",""
"1155","Gerridae","present",""
"1155","Elmidae","present",""
"1155","Haliplidae","present",""
"1155","Hydropsychidae","present",""
"1155","Calopterygidae","present",""
"1155","Chironomidae","present",""
"1155","Simuliidae","present",""
"1155","Sphaeriidae","present",""
"1155","Decapoda","present",""
"1155","Isopoda","present",""
"1155","Amphipoda","present",""
"1155","Turbellaria","present",""
"1155","Hirudinea","present",""
"1156","Heptageniidae","present",""
"1156","Corixidae","present",""
"1156","Elmidae","present",""
"1156","Hydropsychidae","present",""
"1156","Calopterygidae","present",""
"1156","Chironomidae","present",""
"1156","Tipulidae","present",""
"1156","Physidae","present",""
"1156","Decapoda","present",""
"1156","Isopoda","present",""
"1156","Amphipoda","present",""
"1156","Turbellaria","present",""
"1156","Oligochaeta","present",""
"1157","Heptageniidae","present",""
"1157","Elmidae","present",""
"1157","Hydropsychidae","present",""
"1157","Calopterygidae","present",""
"1157","Chironomidae","present",""
"1157","Simuliidae","present",""
"1157","Tipulidae","present",""
"1157","Physidae","present",""
"1157","Decapoda","present",""
"1157","Oligochaeta","present",""
"1158","Gerridae","present",""
"1158","Haliplidae","present",""
"1158","Corduliidae","present",""
"1158","Libellulidae","present",""
"1158","Coenagrionidae","present",""
"1158","Chironomidae","present",""
"1158","Prosobranchia","present",""
"1158","Physidae","present",""
"1158","Amphipoda","present",""
"1158","Turbellaria","present",""
"1158","Oligochaeta","present",""
"1158","Hirudinea","present",""
"1159","Perlodidae","present",""
"1159","Rhyacophilidae","rare",""
"1159","Chironomidae","present",""
"1159","Simuliidae","present",""
"1159","Tipulidae","present",""
"1159","Physidae","present",""
"1159","Isopoda","present",""
"1159","Amphipoda","present",""
"1159","Oligochaeta","present",""
"1159","Hirudinea","present",""
"1160","Hydrophilidae","present",""
"1160","Hydropsychidae","present",""
"1160","Calopterygidae","present",""
"1160","Chironomidae","present",""
"1160","Physidae","present",""
"1160","Decapoda","present",""
"1160","Amphipoda","present",""
"1160","Oligochaeta","present",""
"1161","Gerridae","present",""
"1161","Hydropsychidae","present",""
"1161","Aeshnidae","present",""
"1161","Calopterygidae","present",""
"1161","Coenagrionidae","present",""
"1161","Chironomidae","present",""
"1161","Tipulidae","present",""
"1161","Physidae","present",""
"1161","Decapoda","present",""
"1161","Oligochaeta","present",""
"1161","Hirudinea","present",""
"1162","Gerridae","present",""
"1162","Veliidae","present",""
"1162","Calopterygidae","present",""
"1162","Chironomidae","present",""
"1162","Tipulidae","present",""
"1162","Physidae","present",""
"1162","Sphaeriidae","present",""
"1162","Amphipoda","present",""
"1162","Oligochaeta","present",""
"1162","Hirudinea","present",""
"1163","Corixidae","present",""
"1163","Calopterygidae","present",""
"1163","Coenagrionidae","present",""
"1163","Tipulidae","present",""
"1163","Prosobranchia","present",""
"1163","Sphaeriidae","present",""
"1163","Decapoda","present",""
"1163","Oligochaeta","present",""
"1164","Veliidae","present",""
"1164","Dytiscidae","present",""
"1164","Elmidae","present",""
"1164","Hydropsychidae","present",""
"1164","Calopterygidae","present",""
"1164","Coenagrionidae","present",""
"1164","Chironomidae","present",""
"1164","Simuliidae","present",""
"1164","Tipulidae","present",""
"1164","Physidae","present",""
"1164","Decapoda","present",""
"1164","Isopoda","present",""
"1164","Amphipoda","present",""
"1164","Oligochaeta","present",""
"1164","Hirudinea","present",""
"1165","Gerridae","present",""
"1165","Veliidae","present",""
"1165","Elmidae","present",""
"1165","Haliplidae","present",""
"1165","Hydropsychidae","present",""
"1165","Calopterygidae","present",""
"1165","Chironomidae","present",""
"1165","Simuliidae","present",""
"1081","Amphipoda","rare",""
"1081","Oligochaeta","rare",""
"1082","Caenidae","rare",""
"1082","Heptageniidae","rare",""
"1082","Dytiscidae","rare",""
"1082","Elmidae","common",""
"1082","Psephenidae","common",""
"1082","Scirtidae","rare",""
"1082","Hydropsychidae","rare",""
"1082","Leptoceridae","rare",""
"1082","Aeshnidae","rare",""
"1082","Calopterygidae","common",""
"1082","Coenagrionidae","common",""
"1082","Chironomidae","common",""
"1082","Simuliidae","common",""
"1082","Tipulidae","rare",""
"1082","Prosobranchia","rare",""
"1082","Physidae","common",""
"1082","Planorbidae","common",""
"1082","Sphaeriidae","common",""
"1082","Decapoda","common",""
"1082","Isopoda","rare",""
"1082","Amphipoda","rare",""
"1082","Oligochaeta","rare",""
"1083","Perlidae","common",""
"1083","Baetidae","rare",""
"1083","Heptageniidae","rare",""
"1083","Leptophlebiidae","rare",""
"1083","Corixidae","common",""
"1083","Gerridae","common",""
"1083","Dytiscidae","rare",""
"1083","Elmidae","common",""
"1083","Haliplidae","rare",""
"1083","Hydropsychidae","rare",""
"1083","Limnephilidae","rare",""
"1083","Aeshnidae","rare",""
"1083","Calopterygidae","common",""
"1083","Chironomidae","common",""
"1083","Simuliidae","rare",""
"1083","Tipulidae","rare",""
"1083","Ancylidae","common",""
"1083","Prosobranchia","rare",""
"1083","Physidae","common",""
"1083","Sphaeriidae","common",""
"1083","Decapoda","common",""
"1083","Isopoda","rare",""
"1083","Amphipoda","rare",""
"1083","Oligochaeta","rare",""
"1084","Taeniopterygidae","common",""
"1085","Taeniopterygidae","rare",""
"1086","Veliidae","rare",""
"1086","Elmidae","rare",""
"1086","Hydrophilidae","rare",""
"1086","Hydropsychidae","common",""
"1086","Philopotamidae","rare",""
"1086","Aeshnidae","rare",""
"1086","Calopterygidae","rare",""
"1086","Tipulidae","rare",""
"1086","Oligochaeta","rare",""
"1087","Heptageniidae","rare",""
"1087","Veliidae","rare",""
"1087","Dytiscidae","rare",""
"1087","Hydropsychidae","rare",""
"1087","Calopterygidae","rare",""
"1087","Chironomidae","rare",""
"1087","Tipulidae","rare",""
"1087","Decapoda","rare",""
"1087","Isopoda","common",""
"1087","Amphipoda","rare",""
"1087","Oligochaeta","rare",""
"1087","Hirudinea","rare",""
"1088","Baetidae","rare",""
"1088","Caenidae","rare",""
"1088","Belostomatidae","rare",""
"1088","Corixidae","common",""
"1088","Haliplidae","rare",""
"1088","Hydrophilidae","rare",""
"1088","Libellulidae","rare",""
"1088","Calopterygidae","rare",""
"1088","Coenagrionidae","rare",""
"1088","Chironomidae","common",""
"1088","Decapoda","rare",""
"1088","Amphipoda","rare",""
"1089","Baetidae","rare",""
"1089","Chironomidae","common",""
"1089","Ancylidae","rare",""
"1089","Sphaeriidae","rare",""
"1089","Decapoda","rare",""
"1089","Isopoda","rare",""
"1089","Amphipoda","common",""
"1090","Baetidae","rare",""
"1090","Elmidae","rare",""
"1090","Hydropsychidae","rare",""
"1090","Aeshnidae","rare",""
"1090","Calopterygidae","rare",""
"1090","Chironomidae","common",""
"1090","Simuliidae","common",""
"1090","Isopoda","rare",""
"1090","Amphipoda","rare",""
"1090","Oligochaeta","common",""
"1091","Gerridae","rare",""
"1091","Elmidae","rare",""
"1091","Haliplidae","rare",""
"1091","Hydropsychidae","common",""
"1091","Calopterygidae","rare",""
"1091","Chironomidae","rare",""
"1091","Tipulidae","rare",""
"1091","Sphaeriidae","rare",""
"1091","Decapoda","rare",""
"1091","Isopoda","rare",""
"1091","Amphipoda","rare",""
"1092","Baetidae","rare",""
"1092","Gerridae","rare",""
"1092","Hydropsychidae","common",""
"1092","Aeshnidae","rare",""
"1092","Calopterygidae","rare",""
"1092","Chironomidae","common",""
"1092","Simuliidae","rare",""
"1092","Decapoda","rare",""
"1092","Isopoda","rare",""
"1092","Amphipoda","rare",""
"1092","Oligochaeta","common",""
"1092","Hirudinea","rare",""
"1093","Baetidae","rare",""
"1093","Gerridae","rare",""
"1093","Pleidae","rare",""
"1093","Veliidae","rare",""
"1093","Elmidae","rare",""
"1093","Haliplidae","rare",""
"1093","Psephenidae","rare",""
"1093","Hydropsychidae","rare",""
"1093","Aeshnidae","rare",""
"1093","Libellulidae","rare",""
"1093","Calopterygidae","rare",""
"1093","Coenagrionidae","rare",""
"1093","Chironomidae","rare",""
"1093","Culicidae","rare",""
"1093","Tipulidae","rare",""
"1093","Physidae","common",""
"1093","Sphaeriidae","common",""
"1093","Decapoda","common",""
"1093","Isopoda","rare",""
"1093","Amphipoda","common",""
"1093","Oligochaeta","rare",""
"1093","Hirudinea","rare",""
"1094","Gerridae","rare",""
"1094","Sialidae","rare",""
"1094","Dytiscidae","rare",""
"1094","Hydropsychidae","rare",""
"1094","Phryganeidae","rare",""
"1094","Libellulidae","rare",""
"1094","Calopterygidae","rare",""
"1094","Chironomidae","common",""
"1094","Tabanidae","rare",""
"1094","Tipulidae","rare",""
"1094","Physidae","rare",""
"1094","Sphaeriidae","rare",""
"1094","Decapoda","common",""
"1094","Isopoda","rare",""
"1094","Amphipoda","rare",""
"1094","Hirudinea","rare",""
"1095","Baetidae","rare",""
"1095","Elmidae","common",""
"1095","Hydropsychidae","common",""
"1095","Calopterygidae","rare",""
"1095","Coenagrionidae","rare",""
"1095","Chironomidae","rare",""
"1095","Simuliidae","rare",""
"1095","Tipulidae","common",""
"1095","Prosobranchia","rare",""
"1095","Sphaeriidae","common",""
"1095","Decapoda","rare",""
"1095","Amphipoda","common",""
"1095","Turbellaria","rare",""
"1095","Hirudinea","rare",""
"1096","Baetidae","rare",""
"1096","Heptageniidae","rare",""
"1096","Elmidae","rare",""
"1096","Hydropsychidae","common",""
"1096","Chironomidae","common",""
"1096","Simuliidae","rare",""
"1096","Tipulidae","rare",""
"1096","Prosobranchia","rare",""
"1096","Sphaeriidae","rare",""
"1096","Decapoda","rare",""
"1096","Isopoda","rare",""
"1096","Amphipoda","rare",""
"1096","Turbellaria","rare",""
"1096","Oligochaeta","rare",""
"1097","Baetidae","rare",""
"1097","Haliplidae","rare",""
"1097","Libellulidae","rare",""
"1097","Coenagrionidae","rare",""
"1097","Ancylidae","rare",""
"1097","Isopoda","rare",""
"1097","Amphipoda","rare",""
"1097","Oligochaeta","common",""
"1097","Hirudinea","rare",""
"1098","Baetidae","rare",""
"1098","Heptageniidae","rare",""
"1098","Elmidae","common",""
"1098","Hydropsychidae","common",""
"1098","Calopterygidae","rare",""
"1098","Coenagrionidae","rare",""
"1098","Chironomidae","common",""
"1098","Simuliidae","rare",""
"1098","Stratiomyidae","rare",""
"1098","Tipulidae","common",""
"1098","Sphaeriidae","common",""
"1098","Decapoda","rare",""
"1098","Isopoda","common",""
"1098","Amphipoda","common",""
"1098","Oligochaeta","rare",""
"1098","Corixidae","common",""
"1208","Calopterygidae","common",""
"1208","Chironomidae","common",""
"1208","Simuliidae","common",""
"1208","Tipulidae","rare",""
"1208","Ancylidae","rare",""
"1208","Sphaeriidae","common",""
"1208","Decapoda","common",""
"1208","Isopoda","rare",""
"1208","Amphipoda","rare",""
"1209","Heptageniidae","present",""
"1209","Leptophlebiidae","present",""
"1209","Belostomatidae","present",""
"1209","Corixidae","present",""
"1209","Gerridae","present",""
"1209","Nepidae","present",""
"1209","Notonectidae","present",""
"1209","Veliidae","present",""
"1209","Dytiscidae","present",""
"1209","Haliplidae","present",""
"1209","Hydrophilidae","present",""
"1209","Hydropsychidae","common",""
"1209","Phryganeidae","present",""
"1209","Aeshnidae","rare",""
"1209","Calopterygidae","common",""
"1209","Chironomidae","common",""
"1209","Culicidae","rare",""
"1209","Simuliidae","common",""
"1209","Tipulidae","rare",""
"1209","Physidae","rare",""
"1209","Sphaeriidae","rare",""
"1209","Decapoda","common",""
"1209","Isopoda","rare",""
"1209","Amphipoda","rare",""
"1209","Elmidae","present",""
"1210","Perlodidae","rare",""
"1210","Baetidae","common",""
"1210","Gerridae","rare",""
"1210","Veliidae","rare",""
"1210","Dytiscidae","rare",""
"1210","Haliplidae","rare",""
"1210","Hydropsychidae","common",""
"1210","Phryganeidae","rare",""
"1210","Aeshnidae","rare",""
"1210","Calopterygidae","rare",""
"1210","Chironomidae","rare",""
"1210","Tipulidae","common",""
"1210","Physidae","rare",""
"1210","Decapoda","rare",""
"1210","Oligochaeta","rare",""
"1211","Baetidae","rare",""
"1211","Elmidae","common",""
"1211","Hydropsychidae","common",""
"1211","Calopterygidae","present",""
"1211","Chironomidae","common",""
"1211","Simuliidae","rare",""
"1211","Tipulidae","common",""
"1211","Ancylidae","present",""
"1211","Planorbidae","present",""
"1211","Sphaeriidae","rare",""
"1211","Decapoda","rare",""
"1211","Isopoda","rare",""
"1211","Oligochaeta","rare",""
"1212","Baetidae","present",""
"1212","Heptageniidae","present",""
"1212","Dytiscidae","present",""
"1212","Elmidae","present",""
"1212","Hydropsychidae","present",""
"1212","Leptoceridae","present",""
"1212","Coenagrionidae","present",""
"1212","Chironomidae","common",""
"1212","Simuliidae","common",""
"1212","Ancylidae","rare",""
"1212","Sphaeriidae","common",""
"1212","Decapoda","common",""
"1212","Isopoda","common",""
"1212","Amphipoda","rare",""
"1213","Heptageniidae","rare",""
"1213","Elmidae","common",""
"1213","Hydropsychidae","common",""
"1213","Calopterygidae","present",""
"1213","Coenagrionidae","present",""
"1213","Chironomidae","common",""
"1213","Simuliidae","common",""
"1213","Tipulidae","rare",""
"1213","Ancylidae","rare",""
"1213","Sphaeriidae","common",""
"1213","Decapoda","rare",""
"1213","Isopoda","rare",""
"1213","Amphipoda","common",""
"1213","Oligochaeta","rare",""
"1214","Elmidae","rare",""
"1214","Hydropsychidae","rare",""
"1214","Aeshnidae","rare",""
"1214","Calopterygidae","rare",""
"1214","Chironomidae","rare",""
"1214","Simuliidae","rare",""
"1214","Ancylidae","rare",""
"1214","Decapoda","common",""
"1214","Oligochaeta","rare",""
"1215","Baetidae","present",""
"1215","Heptageniidae","present",""
"1215","Hydrophilidae","common",""
"1215","Calopterygidae","present",""
"1215","Coenagrionidae","present",""
"1215","Chironomidae","rare",""
"1215","Ancylidae","present",""
"1215","Sphaeriidae","present",""
"1215","Decapoda","common",""
"1215","Oligochaeta","rare",""
"1215","Hirudinea","rare",""
"1216","Baetidae","present",""
"1216","Heptageniidae","present",""
"1216","Hydropsychidae","common",""
"1216","Aeshnidae","rare",""
"1216","Calopterygidae","rare",""
"1216","Coenagrionidae","rare",""
"23","Baetidae","common",""
"23","Heptageniidae","common",""
"23","Belostomatidae","rare",""
"23","Corixidae","rare",""
"23","Nepidae","rare",""
"23","Veliidae","rare",""
"23","Dytiscidae","rare",""
"23","Elmidae","rare",""
"23","Hydropsychidae","common",""
"23","Limnephilidae","common",""
"23","Aeshnidae","rare",""
"23","Calopterygidae","rare",""
"23","Chironomidae","rare",""
"23","Tabanidae","common",""
"23","Physidae","rare",""
"23","Sphaeriidae","common",""
"23","Decapoda","common",""
"24","Baetidae","common",""
"24","Heptageniidae","common",""
"24","Hydropsychidae","common",""
"24","Limnephilidae","rare",""
"24","Odontoceridae","rare",""
"24","Aeshnidae","common",""
"24","Calopterygidae","rare",""
"24","Chironomidae","common",""
"24","Simuliidae","rare",""
"24","Tipulidae","common",""
"24","Physidae","rare",""
"24","Sphaeriidae","common",""
"24","Decapoda","common",""
"24","Isopoda","rare",""
"24","Amphipoda","rare",""
"24","Oligochaeta","rare",""
"25","Baetidae","common",""
"25","Heptageniidae","common",""
"25","Notonectidae","rare",""
"25","Elmidae","rare",""
"25","Hydropsychidae","common",""
"25","Aeshnidae","rare",""
"25","Libellulidae","rare",""
"25","Calopterygidae","common",""
"25","Chironomidae","rare",""
"25","Simuliidae","rare",""
"25","Tipulidae","rare",""
"25","Physidae","rare",""
"25","Sphaeriidae","common",""
"25","Decapoda","rare",""
"25","Amphipoda","rare",""
"25","Oligochaeta","common",""
"26","Perlodidae","rare",""
"26","Heptageniidae","rare",""
"26","Corixidae","rare",""
"26","Elmidae","rare",""
"26","Hydropsychidae","common",""
"26","Limnephilidae","common",""
"26","Chironomidae","common",""
"26","Simuliidae","common",""
"26","Tipulidae","common",""
"26","Sphaeriidae","rare",""
"26","Decapoda","rare",""
"26","Isopoda","rare",""
"26","Amphipoda","common",""
"26","Oligochaeta","common",""
"27","Perlodidae","common",""
"28","Heptageniidae","common",""
"28","Belostomatidae","rare",""
"28","Notonectidae","rare",""
"28","Dytiscidae","common",""
"28","Hydropsychidae","rare",""
"28","Calopterygidae","rare",""
"28","Chironomidae","rare",""
"28","Simuliidae","rare",""
"28","Tipulidae","common",""
"28","Gastropoda","rare",""
"28","Physidae","rare",""
"28","Sphaeriidae","common",""
"28","Decapoda","common",""
"28","Amphipoda","rare",""
"28","Oligochaeta","rare",""
"29","Heptageniidae","rare",""
"29","Notonectidae","rare",""
"29","Elmidae","rare",""
"29","Noteridae","rare",""
"29","Hydropsychidae","common",""
"29","Chironomidae","common",""
"29","Simuliidae","common",""
"29","Tipulidae","common",""
"29","Decapoda","rare",""
"29","Isopoda","rare",""
"29","Amphipoda","rare",""
"29","Oligochaeta","common",""
"30","Plecoptera","absent",""
"31","Belostomatidae","rare",""
"31","Corixidae","rare",""
"31","Nepidae","rare",""
"31","Notonectidae","rare",""
"31","Veliidae","rare",""
"31","Sialidae","rare",""
"31","Dytiscidae","rare",""
"31","Hydrophilidae","rare",""
"31","Calopterygidae","rare",""
"31","Chironomidae","common",""
"31","Physidae","rare",""
"31","Sphaeriidae","common",""
"31","Isopoda","common",""
"31","Oligochaeta","common",""
"1123","Chironomidae","common",""
"1123","Simuliidae","common",""
"1123","Tipulidae","common",""
"1123","Ancylidae","rare",""
"1123","Physidae","rare",""
"1123","Sphaeriidae","rare",""
"1123","Decapoda","rare",""
"1123","Isopoda","rare",""
"1123","Oligochaeta","rare",""
"1123","Nepidae","rare",""
"1123","Veliidae","rare",""
"1124","Veliidae","rare",""
"1124","Elmidae","rare",""
"1124","Hydropsychidae","common",""
"1124","Coenagrionidae","rare",""
"1124","Chironomidae","common",""
"1124","Simuliidae","rare",""
"1124","Tipulidae","rare",""
"1124","Ancylidae","rare",""
"1124","Decapoda","rare",""
"1124","Isopoda","rare",""
"1124","Amphipoda","rare",""
"1125","Baetidae","rare",""
"1125","Heptageniidae","rare",""
"1125","Elmidae","common",""
"1125","Hydropsychidae","common",""
"1125","Philopotamidae","common",""
"1125","Calopterygidae","rare",""
"1125","Coenagrionidae","rare",""
"1125","Chironomidae","common",""
"1125","Simuliidae","common",""
"1125","Ancylidae","rare",""
"1125","Physidae","rare",""
"1125","Sphaeriidae","common",""
"1125","Decapoda","rare",""
"1125","Isopoda","rare",""
"1125","Amphipoda","common",""
"1125","Oligochaeta","rare",""
"1125","Hirudinea","rare",""
"1126","Baetidae","common",""
"1126","Hydropsychidae","common",""
"1126","Calopterygidae","rare",""
"1126","Coenagrionidae","rare",""
"1126","Chironomidae","common",""
"1126","Simuliidae","rare",""
"1126","Ancylidae","rare",""
"1126","Decapoda","rare",""
"1126","Amphipoda","rare",""
"1126","Oligochaeta","rare",""
"1126","Hirudinea","rare",""
"1127","Baetidae","common",""
"1127","Hydrophilidae","common",""
"1127","Coenagrionidae","rare",""
"1127","Chironomidae","common",""
"1127","Ancylidae","rare",""
"1127","Sphaeriidae","rare",""
"1127","Decapoda","common",""
"1127","Oligochaeta","rare",""
"1127","Hirudinea","rare",""
"1128","Heptageniidae","rare",""
"1128","Hydropsychidae","common",""
"1128","Coenagrionidae","common",""
"1128","Chironomidae","common",""
"1128","Ancylidae","common",""
"1128","Decapoda","common",""
"1128","Isopoda","rare",""
"1128","Oligochaeta","rare",""
"1129","Baetidae","rare",""
"1129","Heptageniidae","rare",""
"1129","Elmidae","rare",""
"1129","Hydropsychidae","common",""
"1129","Coenagrionidae","common",""
"1129","Chironomidae","rare",""
"1129","Ancylidae","rare",""
"1129","Sphaeriidae","rare",""
"1129","Decapoda","common",""
"1129","Isopoda","rare",""
"1130","Baetidae","common",""
"1130","Belostomatidae","rare",""
"1130","Corixidae","rare",""
"1130","Dytiscidae","rare",""
"1130","Hydrophilidae","rare",""
"1130","Hydropsychidae","rare",""
"1130","Chironomidae","common",""
"1130","Ancylidae","rare",""
"1130","Decapoda","common",""
"1130","Isopoda","rare",""
"1130","Oligochaeta","rare",""
"1131","Baetidae","rare",""
"1131","Heptageniidae","rare",""
"1131","Gerridae","rare",""
"1131","Hydropsychidae","common",""
"1131","Calopterygidae","rare",""
"1131","Coenagrionidae","rare",""
"1131","Chironomidae","rare",""
"1131","Ancylidae","rare",""
"1131","Decapoda","rare",""
"1131","Isopoda","common",""
"1131","Amphipoda","common",""
"1131","Oligochaeta","rare",""
"1131","Hirudinea","rare",""
"1132","Baetidae","rare",""
"1132","Corixidae","rare",""
"1132","Hydrophilidae","rare",""
"1132","Hydropsychidae","common",""
"1132","Coenagrionidae","rare",""
"1132","Chironomidae","common",""
"1261","Capniidae","common",""
"1262","Capniidae","rare",""
"1262","Heptageniidae","present",""
"1262","Hydropsychidae","present",""
"1262","Sialidae","present",""
"1262","Chironomidae","present",""
"1263","Capniidae","rare",""
"1263","Chironomidae","present",""
"1264","Capniidae","rare",""
