"ID","BRANCH","Stream Name","FIELDID","Site Description","Sampling Roads","Sampling Location","County","city township","Latitude","Longitude","notes","Nearest Address","Permission?","Contact","Parking Latitude","Parking Longitude","SWS","Paired","ORG","Branch order","site photo?","updated?","easy to access","Temperature Sensors","Grow Zone?","Grow Zone Year?","GLRI Transforming","active","benthics","community sponsored","spring Comm sponsored","fall Comm sponsored","Lake","Fish"
"195","Main","Evans Creek","Evan3","Nine Mile Road","","","Oakland","Southfield","42.459278","-83.268639","","23190 W Nine Mile Rd, Southfield, MI 48034","True","","","","","","FOTR","","False","","False","","","","False","True","True","False","False","False","False","False"
"196","Main","Evans Creek","Evan4","Berg Rd","Eight Mile","","Oakland","Southfield","42.443871","-83.269766","","23000 Eight Mile Road, Southfield 48033","False","","","","","","","","False","","False","","","","False","False","False","False","False","False","False","True"
"194","Main","Evans Creek","Evan5","Lahser at credit union","","","Oakland","Southfield","42.467809","-83.2616187","","23000 Eight Mile Road, Southfield, MI","False","","","","","","","","False","","False","","","","False","True","False","False","False","False","False","True"
"74","Lower","Fellows Creek","Fel1","Top of Hill Ct","Napier/Powell","Downstream","Wayne","Plymouth Twp","42.35729","-83.53988","","50655 Top of Hill Ct, Plymouth, MI 48170","False","","","","L1","1a","FOTR","1","True","BN GPS","True","","N","","False","True","True","False","False","False","False","False"
"75","Lower","Fellows Creek","Fel2","Vintage Valley","Ford/Ridge","Downstream","Wayne","Canton Twp","42.31932","-83.5246","","2119 Tradition Dr, Canton, MI 48187","False","","","","L1","2b","FOTR","6","True","BN GPS","False","","N","","False","True","True","False","False","False","False","False"
"121","Lower","Fellows Creek","Fel3","Ann Arbor Rd","at Joy Road","Downstream","Wayne","Canton Twp","42.349854","-83.540557","","Bob got in accident, do not use","False","","","","","","FOTR","2","False","","False","","","","False","False","False","False","False","False","False","True"
"76","Lower","Fellows Creek","Fel4","Flodin Pk","Saltz Rd/Sheldon","Downstream","Wayne","Canton Twp","42.31346","-83.46471","","43431 Saltz Rd, Canton, MI 48187","False","","","","L1","","WC","7","True","BN GPS","False","","Y","","False","False","True","False","False","False","False","False"
"122","Lower","Fellows Creek","Fel5","Warren Ridge","between Napier and Ridge","Upstream","Wayne","Canton Twp","42.335263","-83.539831","","7230 Bircklan Dr, Canton, MI 48187","False","","","","L1","1b","FOTR","3","False","","True","","","","False","True","True","False","False","False","False","False"
"123","Lower","Fellows Creek","Fel6","Hanford","west of Ridge","Upstream","Wayne","Canton Twp","42.328188","-83.532192","","49780 Hanford Rd, Canton, MI 48187","False","","","","L1","2a","FOTR","4","False","","True","","","","False","True","True","False","False","False","False","False"
"169","Lower","Fellows Creek","Fel7","Napier Court","Napier/Ann Arbor Rd","Upstream","Washtenaw","Plymouth Twp","42.3462","-83.54797","","Mike Perrin, 4741 Napier Ct, Plymouth, MI 48170","False","","","","","","","","False","","False","","","","False","False","True","False","False","False","False","False"
"188","Lower","Fellows Creek","Fel8","Creekwood Drive","Joy Rd/Ridge","","Wayne","Plymouth Twp","42.350051","-83.531235","Jan 2020 added for SS due to high water","49800 Joy Road, Plymouth, MI 48170","False","","","","","","FOTR","","False","","False","","","","False","False","True","False","False","False","False","False"
"175","Main","Forest Lakes Outflow","FLOW","EL Johnson Nature Center","3325 Franklin Rd, Bloomfield Hills, MI 48302","Downstream","Oakland","Bloomfield Hills","42.5934931","-83.284682","","3325 Franklin Rd, Bloomfield Hills, MI 48302","False","","","","","","","","False","","False","","","","False","False","True","False","False","False","False","False"
"155","Main","Forest Lakes Outflow","FLOW2","Brookside Drive","W Long Lake","Upstream","Oakland","Bloomfield Hills","42.58359","-83.27364","","3830 Brookside Dr, Bloomfield Hills, MI 48302","False","","","","","","","","False","","False","","","","False","False","False","False","False","False","False","True"
"77","Lower","Fowler Creek","Fowl1","Prospect","Prospect/Cherry Hill","Downstream","Washtenaw","Superior Twp","42.30423","-83.60516","","3040 N Prospect Rd, Ypsilanti, MI 48198 (address is for hall, meet at park on SW corner)","False","","","","L1","3a","FOTR","1","True","BN GPS","True","","N","","False","True","True","True","True","True","False","False"
"78","Lower","Fowler Creek","Fowl2","Fowler Beck","Beck, N of Geddes","Downstream","Wayne","Canton Twp","42.28226","-83.50515","","3500 Beck Rd South, Canton, MI 48188","False","","","","L1","3b","FOTR","5","True","BN GPS","False","Y","N","","False","True","True","False","False","False","False","False"
"119","Lower","Fowler Creek","Fowl3","Harris","S of Cherry Hill","Up and Downstream","Washtenaw","Superior Twp","42.297437","-83.584549","","Sugarbush Farms, 3620 Gotfredson Rd, Superior Charter Twp, MI 48198","False","","","","L1","","FOTR","2","False","","False","","","","False","False","False","False","False","False","False","True"
"142","Lower","Fowler Creek","Fowl4","Ridge Rd S of Geddes","Ridge/Geddes","Downstream","Washtenaw","Superior Twp","42.2755623","-83.553772","","South Pointe Scholars, 10550 Geddes Rd, Ypsilanti, MI 48198","False","","","","","","FOTR","4","False","","False","","","","False","False","False","False","False","False","False","True"
"152","Lower","Fowler Creek","Fowl5","Fowler Denton","Denton N of Geddes","Downstream","Wayne","Canton Twp","42.2802935","-83.5254264","","3411 Denton, Canton, MI 48188","False","","","","","","","","False","","False","","","","False","False","False","False","False","False","False","True"
"212","Lower","Fowler Creek","Fowl6","Ellsworth","","","Wayne","Superior Twp","42.303202","-83.608035","","7842 Cherry Hill","False","","","","","","","","False","","False","","","","False","False","False","False","False","False","False","True"
"16","Main","Franklin Creek","Frank1","Franklin Cider Mill","14 Mile/Franklin Rd","Upstream","Oakland","Franklin","42.53024","-83.30585","","7450 Franklin Rd, Bloomfield Hills, MI 48301","True","thefranklincidermill@gmail.com, 248-626-8261","","","MN1/2","6b","FOTR","MN Frank2","True","SP GPS","True","","N","","False","True","True","False","False","False","False","False"
"17","Main","Franklin Creek","Frank2","Ink Pump Sta","Inkster & Farmington","Upstream","Oakland","Farmington Hills","42.529325","-83.325381","John Worthington, worthingtonj@oakgov.com, 248-431-2735","7498 Inkster Rd Farmington Hills, MI 48322
West Bloomfield Township, MI 48322","True"," Doug Stover","","","MN1/2","6a","FOTR","MN Frank1","True","Google Earth","False","","N","","False","True","True","False","False","False","False","False"
"157","Main","Franklin Creek","Frank3","Stream above Morris Lake","Morris Lake Drive","Downstream","Oakland","West Bloomfield","42.56567","-83.38011","","","False","","","","","","","","False","","False","","","","False","False","False","False","False","False","False","True"
"158","Main","Franklin Creek","Frank4","Morris Lake","Mirror Lake Drive","Downstream","Oakland","West Bloomfield","42.56574","-83.37964","","","False","","","","","","","","False","","False","","","","False","False","False","False","False","False","True","True"
"159","Main","Franklin Creek","Frank5","above Morris Lake","Mirror Lake Drive","Upstream","Oakland","West Bloomfield","42.5654","-83.38219","","","False","","","","","","","","False","","False","","","","False","False","False","False","False","False","False","True"
"160","Main","Franklin Creek","Frank6","out let from Morris Lake","Lockhart St","Downstream","Oakland","West Bloomfield","42.5653611","-83.3735027","","4958 Lockhart St, West Bloomfield, MI 48323","False","Kurt Kimmer, kkimmer1@ford.com, 248-766-1211","","","","","","","False","","False","","","","False","False","False","False","False","False","True","True"
"172","Main","Franklin Creek","Frank7","Doherty Elementary School","3575 Walnut Lake Rd, West Bloomfield Township, MI 48322","Downstream","Oakland","West Bloomfield","42.55605","-83.3548","","","False","","","","","","","","False","","False","","","","False","False","False","False","False","False","False","True"
"182","Main","Morris Lake","Frank8","end of Lockhart","4985 Lockhart","Upstream","Oakland","West Bloomfield","42.564393","-83.3754668","","","False","","","","","","","","False","","False","","","","False","False","False","False","False","False","False","True"
"206","Main","Quarton Branch","GilbL","Gilbert Lake","","","Oakland","Bloomfield Twp","42.560939","-83.278472","","1045 Timberlake Dr, Bloomfiled Twp","False","Lauren Bowler","","","","","","","False","","False","","","","False","False","False","False","False","False","True","True"
"207","Main","Hammond Lake","HamL","Hammond Lake Road","","","Oakland","Bloomfield Twp","42.6066819","-83.3223617","","2300 E Hammond Lake Rd","False","Ted Kanakis, Catmancool@hotmail.com","","","","","","","False","","False","","","","False","False","False","False","False","False","True","True"
"34","Middle","Ingersoll Creek","Ing1","Brookfarm Park","Willowbrook/10 Mile","Downstream","Oakland","Novi","42.46293","-83.44552","","23801 Willowbrook Dr, Novi, MI 48375","False","","","","M1","13b","FOTR","1","True","SP GPS","True","","N","","False","True","True","True","True","True","False","False"
"35","Middle","Johnson Creek","John1","5M Salem","5 Mile/Salem Rd","Downstream","Washtenaw","Salem Twp","42.3897","-83.58194","Washt S/F 2022-25","9251 Five Mile Road Northville, MI 48168","False","","","","M1","14a","FOTR","2","True","SP GPS","False","","N","","False","True","True","True","True","True","False","False"
"36","Middle","Johnson Creek","John2","5M NV","5 Mile/Ridge","Upstream","Wayne","Northville Twp","42.3938201","-83.5342002","Washt S/F 2022-25","49648 Five Mile Road Northville, MI 48168","False","","","","M1","14b","FOTR","4","True","SP GPS","False","","N","","False","True","True","True","True","True","False","False"
"37","Middle","Johnson Creek","John3","6M NV","6 Mile/Beck","Upstream","Wayne","Northville Twp","42.40844","-83.51693","Washt S/F 2022-25","47967 Six Mile Rd Northville, MI 48168","False","","","","M1","15b","FOTR","6","True","SP GPS","False","","N","","False","True","True","True","True","True","False","False"
"38","Middle","Johnson Creek","John5","Fish Hatchery Pk","7 Mile/Sheldon","Downstream","Wayne","Northville Twp","42.4224","-83.49289","","Fish Hatchery Park, Northville, MI 48168","False","","","","M1","16a","FOTR","8","True","SP GPS","False","","N","","False","True","True","True","True","True","False","False"
"39","Middle","Johnson Creek","John6","Hines","Hines/Sheldon","Downstream","Wayne","Northville Twp","42.42546","-83.48138","","Sheldon Rd & Edward N Hines Dr, Northville, MI 48168","False","","","","M1","16b","FOTR","10","True","SP GPS","True","","N","","False","True","True","False","False","False","False","False"
"40","Middle","Johnson Creek","John7","Arcadia","S of 6 Mile, W of Beck","Downstream","Wayne","Northville Twp","42.3985716","-83.5279588","Washt S/F 2022-25","16132 Ridge Rd Northville, MI 48168
Coldwater Springs Linear Park & Pathway, Northville, MI 48168","False","","","","M1","15a","FOTR","5","True","","False","","N","","False","True","True","True","True","True","False","False"
"90","Middle","Johnson Creek","John8","Maybury Angell","7 Mile & Napier","Downstream","Wayne","Northville Twp","42.42148","-83.54396","","19080 Angell Blvd, Northville, MI 48168","False","","","","M1","","FOTR","7","True","","True","","","","False","True","True","False","False","False","False","False"
"105","Middle","Johnson Creek","John9","Western Wayne CA","5 Mile & Napier","Downstream","Wayne","Plymouth Twp","42.38066","-83.545192","","","False","","","","","","FOTR","3","True","","False","","","","False","False","False","False","False","False","False","True"
"106","Middle","Johnson Creek","JohnRHS","Rural Hills St","Hines","Upstream","Wayne","Salem Twp","42.42611","-83.486667","","","False","","","","","","FOTR","9","False","","False","","","","False","False","False","False","False","False","False","True"
"107","Middle","Johnson Creek","JohnSWD","Salem Woods Dr","Currie","Downstream","Washtenaw","Salem Twp","42.392444","-83.595278","","","False","","","","","","FOTR","1","True","","False","","","","False","False","False","False","False","False","False","True"
"139","Lower","Lower Rouge","Low10","Canton Center","north of South Canton scholars school","Downstream","Wayne","Canton Twp","42.286124","-83.48359","","","False","","","","","","FOTR","6","False","","False","","","","False","False","False","False","False","False","False","True"
"151","Lower","Lower Rouge","Low11","Denton Rd","N of Proctor","Upstream","Wayne","Canton Twp","42.2972147","-83.5254371","","","False","","","","","","","","False","","False","","","","False","False","False","False","False","False","False","True"
"179","Lower","Lower Rouge","Low12","Canton Trails Day","east of Sheldon site","Downstream","Wayne","Canton Twp","42.2838277","-83.474042","","","False","","","","","","","","False","","False","","","","False","False","True","False","False","False","False","True"
"197","Lower","Lower Rouge","Low13","Venoy Dorsey Park","Venoy/Michigan","","Wayne","Westland","42.2876032","-83.3592921","","","False","","","","","","","","False","","False","","","","False","False","False","False","False","False","False","True"
"214","Lower","Lower Rouge","Low14","Dearborn Hills Golf Course","Telegrah N of Michigan","Downstream","Wayne","Dearborn","42.302104","-83.270312","need permission from golg course, Larry","1300 S. Telegraph Rd, Dearborn, MI 48124","True","Danole Plamondon dplamondon@ci.dearborn.mi.us","","","","","FOTR","","False","","False","","","","False","False","False","False","False","False","False","True"
"79","Lower","Lower Rouge","Low2","Cherry Hill","Cherry Hill/Ridge","Upstream","Wayne","Canton Twp","42.30724","-83.53793","","50609 Steed Dr, Canton, MI 48187","False","","","","L1","4a","FOTR","2","True","BN GPS","False","","N","","False","True","True","False","False","False","False","False"
"118","Lower","Lower Rouge","Low3","Gotfredson","N of Ford","Upstream","Washtenaw","Superior Twp","42.3227","-83.565967","","3620 Gotfredson Rd, Superior Charter Twp, MI 48198","False","","","","L1","","FOTR","1","False","","False","","","","False","True","True","False","False","False","False","False"
"124","Lower","Lower Rouge","Low4","Sheldon Rd","N of Michigan","Downstream","Wayne","Canton Twp","42.2866039","-83.4756605","","3162 Sheldon Rd, Canton, MI 48188","False","","","","L1","","FOTR","7","False","","False","","","","False","True","True","False","False","False","False","False"
"125","Lower","Lower Rouge","Low5","Lotz Rd","N of Michigan","Downstream","Wayne","Canton Twp","42.282389","-83.437141","","","False","","","","","","FOTR","9","False","","False","","","","False","False","False","False","False","False","False","True"
"126","Lower","Lower Rouge","Low6","Newburgh Rd","N of Michigan","Upstream","Wayne","Wayne","42.282611","-83.407008","","","False","","","","","","FOTR","10","False","","False","","","","False","False","False","False","False","False","False","True"
"127","Lower","Lower Rouge","Low7","RR Tracks","Wayne Bowl","Downstream","Wayne","Wayne","42.283278","-83.397352","","","False","Wayne Releaf Owner Paul Russo 734-564-0789","","","","","FOTR","12","False","","False","","","","False","False","False","False","False","False","False","True"
"128","Lower","Lower Rouge","Low8","Elizabeth St","N of Michigan","Downstream","Wayne","Wayne","42.285374","-83.388726","","","False","","","","","","FOTR","13","False","","False","","","","False","False","False","False","False","False","False","True"
"132","Lower","Lower Rouge","Low9","Lower Beck Rd","Beck Road","Downstream","Wayne","Canton Twp","42.283461","-83.505311","","","False","","","","","","FOTR","4","False","","False","","","","False","False","False","False","False","False","False","True"
"80","Lower","Lower Rouge","LR-1","Commerce Ct","Michigan Ave, WCDOE Office","Upstream","Wayne","Wayne","42.280425","-83.42027","","","False","","","","L2","","WC","11","True","","False","","N","","False","True","True","False","False","False","False","False"
"89","Lower","Lower Rouge","LR-10","Inkster","John Daly north of Michigan","Downstream","Wayne","Inkster","42.298506","-83.305839","","","False","","","","L1","","WC","17","True","","True","Y","","","True","True","True","False","False","False","False","False"
"96","Lower","Lower Rouge","LR-11","Ford Field","Brady & Cherry Hill","Upstream","Wayne","Dearborn","42.309888","-83.24854","","","False","","","","L2","","WC","18","True","","False","","","","False","False","True","False","False","False","False","False"
"134","Lower","Lower Rouge","LR-11A","Ford Field east","east of Ford Field","Downstream","Wayne","Dearborn","42.3125679","-83.2415233","","","False","","","","","","WC","19","False","","False","Y","","","False","True","True","False","False","False","False","False"
"104","Lower","Lower Rouge","LR-12","Morton Taylor","east of Morton Taylor, n of Michigan Ave","Downstream","Wayne","Canton Twp","42.282317","-83.466103","","3650 S Morton Taylor Rd, Canton, MI 48188","False","","","","L1","","WC","8","True","","True","Y","","","False","True","True","False","False","False","False","False"
"81","Lower","Lower Rouge","LR-2","WTUA","Geddes/Beck, N, d/s of outfall","Downstream","Wayne","Canton Twp","42.281962","-83.503009","","3600 S Beck Road, Canton, MI 48188","False","Ryan Stetler, YCUA to open gate 734-730-3738, RStetler@ycua.org","","","L2","","WC","5","True","","False","Y","N","","False","True","True","False","False","False","False","False"
"82","Lower","Lower Rouge","LR-3","Goudy Park","Wayne & Michigan Ave","Downstream","Wayne","Wayne","42.284848","-83.381855","","","False","","","","L2","","WC","15","True","","False","","N","","True","True","True","False","False","False","False","False"
"83","Lower","Lower Rouge","LR-4","Merriman Rd","Merriman & Michigan Ave","Downstream","Wayne","Westland","42.288775","-83.3486","","","False","","","","L2","","WC","16","False","","False","","","","False","True","True","False","False","False","False","False"
"84","Lower","Fellows Creek","LR-5","Fellows Lotz  Finley Dr","Finley Drive","Downstream","Wayne","Canton Twp","42.300561","-83.4374797","","40331 Finley Dr, Canton, MI 48188","False","","","","L1","","WC","8","True","","False","Y","","","False","True","True","False","False","False","False","False"
"85","Lower","Lower Rouge","LR-6","Wayne WDM","Wayne Rd W","Upstream","Wayne","Wayne","42.285","-83.383888","","","False","","","","L2","","WC","14","True","","False","Y","N","","True","True","True","False","False","False","False","False"
"86","Lower","McClaugherty Creek","LR-7","McClaugherty Creek","Ecorse & Hannan","Downstream","Wayne","Romulus","42.2484","-83.4248","","","False","","","","L1","","WC","1","False","","False","","N","","False","True","True","False","False","False","False","False"
"87","Lower","Lower Rouge","LR-8","Ridge Proctor","Ridge & Proctor","Downstream","Wayne","Canton Twp","42.295976","-83.541846","","50996 Proctor Rd, Canton, MI 48188","False","","","","L1","4b","WC","3","True","","False","Y","","","False","True","True","False","False","False","False","False"
"88","Lower","Fellows Creek","LR-9","Fellows Beck Warren","Warren & Beck","Upstream","Wayne","Canton Twp","42.3370903","-83.5085406","","47500 Warren Rd, Canton, MI 48187","False","","","","L1","","WC","5","True","","False","","","","False","True","True","False","False","False","False","False"
"18","Main","Main Rouge","Main1","FF Pk","Coolidge/I-75","Upstream","Oakland","Troy","42.60991","-83.17984","","1800 W Square Lake Rd, Troy, MI 48098","False","","","","MN1/2","7b","FOTR","MN1","True","BN GPS","False","","","","False","True","True","True","True","True","False","False"
"116","Main","Main Rouge","Main10","HF Estate Dam","Evergreen N of Mich","Upstream","Wayne","Dearborn","42.312949","-83.232347","","Henry Ford Estate, Dearborn, MI 48128","True","","","","MN","","FOTR","MN16","False","","False","","","","False","False","True","False","False","False","False","False"
"135","Main","Quarton Branch","Main11","Quarton at Lakeside","Lakeside/Midland Dr","Upstream","Oakland","Birmingham","42.554445","-83.226312","","924 Lakeside Dr
Birmingham, MI 48009","False","","","","","10b","FOTR","MN Quar","False","","False","","","","False","True","True","False","False","False","False","False"
"149","Main","Oxbow","Main12","Greenfield Village","Oxbow","Upstream","Wayne","Dearborn","42.304944","-83.219585","","","False","","","","","","","","False","","False","","","","False","False","False","False","False","False","False","True"
"198","Main","Main Rouge","Main12N","Oxbow North","Greenfield Village","","Wayne","Dearborn","42.30589","-83.221978","","","False","","","","","","","","False","","False","","","","False","False","False","False","False","False","False","True"
"153","Main","Main Rouge","Main13","W Long Lake","W Long Lake/Coolidge","Downstream","Oakland","Troy","42.59005","-83.18976","","","False","","","","","","","","False","","False","","","","False","False","False","False","False","False","False","True"
"180","Main","Main Rouge","Main14","Middle confluence","Hines/Ford Rd","Downstream","Wayne","Dearborn Heights","42.33082","-83.24434","","","False","","","","","","","","False","","False","","","","False","False","False","False","False","False","False","True"
"174","Main","Main Rouge","Main15","Kensington Rd","5191 Iron Gate, Bloomfield Township, MI 48304","Upstream","Oakland","Bloomfield Twp","42.5642705","-83.2122517","","5191 Iron Gate, Bloomfield Township, MI 48304","False","","","","","","","","False","","False","","","","False","False","False","False","False","False","False","True"
"177","Main","Quarton Branch","Main16","Cranbrook Rowing Team","651 Orchard Ridge Rd, Bloomfield Hills, MI 48304","Downstream","Oakland","Bloomfiled Hills","42.5698649","-83.2571411","","","False","","","","","","","","False","","False","","","","False","False","False","False","False","False","False","True"
"178","Main","Main Branch","Main17","Berberian Woods","28415 Streamwood Ln, Southfield, MI 48034","Downstream","Oakland","Southfield","42.4957582","-83.2765335","","","False","","","","","","","","False","","False","","","","False","False","False","False","False","False","False","True"
"199","Main","Main Rouge","Main18","Beach Rd","park on Tarragone","","Oakland","","42.581007","-83.197579","","","False","","","","","","","","False","","False","","","","False","False","False","False","False","False","False","True"
"200","Main","Main Rouge","Main19","Nine Mile","W of Beech","","Oakland","Southfield","42.456957","-83.305917","","","False","","","","","","","","False","","False","","","","False","False","False","False","False","False","False","True"
"19","Main","Main Rouge","Main2","CAHN","Sq Lk/Coolidge","Downstream","Oakland","Troy","42.60398","-83.17963","","","False","","","","MN1/2","","FOTR","MN2","False","","False","","","","False","False","False","False","False","False","False","True"
"201","Main","Main Rouge","Main20","Ford Road","under","","Wayne","Dearborn Heights","42.33006","-83.2415","","","False","","","","","","","","False","","False","","","","False","False","False","False","False","False","False","True"
"20","Main","Main Rouge","Main3","Booth Pk","Old Woodward/Euclid","Downstream","Oakland","Birmingham","42.5487974","-83.2177051","","280 Harmon St, Birmingham, Mi 48009","False","","","","MN1/2","8a","FOTR","MN3","True","BN GPS","True","","N","","False","True","True","False","False","False","False","False"
"21","Main","Main Rouge","Main4","Linden Pk","15 Mile/Southfield","Downstream","Oakland","Birmingham","42.5424121","-83.2251341","","540 Hawthorne St, Birmingham, MI 48009","False","","","","MN1/2","8b","FOTR","MN4","True","BN GPS","False","","N","","False","True","True","False","False","False","False","False"
"22","Main","Main Rouge","Main4.5","Fairway Pk","Lincoln/Southfield","Downstream","Oakland","Birmingham","42.53718","-83.22861","","1400 Fairway Drive, Birmingham, MI 48009","False","","","","MN1/2","9a","FOTR","MN5","True","BN GPS","False","","Y","2005","False","True","True","False","False","False","False","False"
"23","Main","Main Rouge","Main5","Douglas Evans","Evergreen/13 Mile","Upstream","Oakland","Beverly Hills","42.52219","-83.24692","Erin Lapere, elapere@villagebeverlyhills.com, 248-540-3400, prompt #2","Douglas Evans Nature Preserve, Beverly Hills, Mi 48025","True","Kristin Rutkowski, Kevin","","","MN1/2","9b","FOTR","MN6","True","BN GPS","True","","N","","False","True","True","True","True","True","False","False"
"24","Main","Main Rouge","Main6","Sfld Civic Ctr","Civic Center Dr/Telegraph","Up and Downstream","Oakland","Southfield","42.47882","-83.284548","","24300 Civic Center Dr, Southfield, MI 48033","False","","","","MN1/2","11b","FOTR","MN7","True","SP GPS","False","","N","","True","True","True","True","True","True","False","False"
"92","Main","Main Rouge","Main7","Sfld 10 M","10 Mile","Upstream","Oakland","Southfield","42.472849","-83.289147","","","False","","","","MN1/2","","WC","MN8","True","","False","","","","True","True","True","False","False","False","False","False"
"114","Main","Main Rouge","Main7.5","24836 Glenside","10 Mile & Beech","Downstream","Wayne","Southfield","42.469074","-83.290339","","","False","","","","","","FOTR","MN9","False","","False","","","","False","False","True","False","False","False","False","False"
"93","Main","Main Rouge","Main8","Fordson Island","Fort Street","Upstream","Wayne","Detroit Dearborn","42.29352","-83.14873","","","False","","","","MN3/4","","FOTR","MN18","True","","False","","","","False","True","True","False","False","False","False","False"
"113","Main","Main Rouge","Main9","Rotunda","Southfield","Upstream","Wayne","Dearborn","42.30388","-83.203929","","","False","","","","","","FOTR","MN17","False","","False","","","","False","False","False","False","False","False","False","False"
"41","Middle","Middle Rouge","Mid1","Northville Rec E","Northville Rd/7 Mile","Downstream","Oakland","Northville Twp","42.42177","-83.47546","","Northville Area Dr, Northville, MI 48168 (from Northville Rd, turn right then left)","False","","","","M1","","FOTR","2","False","","True","","N","","False","True","True","False","False","False","False","False"
"101","Middle","Middle Rouge","Mid2","Woods Dr Riffle","Hines","Upstream","Wayne","Plymouth Twp","42.37183","-83.45509","","","False","","","","MI","","FOTR","8","False","","False","","","","False","False","False","False","False","False","False","True"
"102","Middle","Middle Rouge","Mid3","Newb Dam outflow","Ann Arbor Rd","Upstream","Wayne","Livonia","42.36656","-83.41015","","","False","","","","MI","","FOTR","11","True","","False","","","","False","False","False","False","False","False","False","True"
"143","Middle","Middle Branch","Mid4","Newburgh Lake","Hines","Downstream","Wayne","Livonia","42.366466","-83.423351","","","False","","","","","","FOTR","10","False","","False","","","","False","False","False","False","False","False","False","True"
"148","Middle","Middle Rouge","Mid5","Helms Haven","Hines/Outer Dr","Upstream","Wayne","Dearborn Heights","42.339356","-83.264421","","","False","","","","","","","","False","","False","","","","False","False","True","False","False","False","False","False"
"190","Middle","Middle Rouge","Mid6","SP House","Rouge River Drive/Kingsbury","","Wayne","Dearborn Heights","42.346715","-83.280264","back of S Petrella house","24706 Rouge River Drive, Dearborn Heights, MI 48127","False","","","","","","FOTR","","False","","False","","","","False","False","True","False","False","False","False","False"
"193","Middle","Nankin dam","Mid7","below Nankin dam","Ann Arbor Trail and Hines","","Wayne","Westland","42.351231","-83.373229","Darryl Newman, local volunteer, did Salt Watch","","False","","","","","","","","False","","False","","","","False","False","False","False","False","False","False","True"
"4","Upper","Minnow Pond","Min1","Minnow 13 M","13 Mile/Farmington","Downstream","Oakland","Farmington Hills","42.51274","-83.38905","","34401 W 13 Mile Rd, Farmington Hills, MI 48331","False","","","","U","21a","FOTR","U Min2","True","SP GPS","False","","","","False","True","True","False","False","False","False","False"
"5","Upper","Minnow Pond","Min2","OCC","Farmington Rd","Downstream","Oakland","Farmington Hills","42.493065","-83.37734","","OCC Orch Rdg Campus, Farmington Hills, MI 48334","False","","","","U","21b","FOTR","U Min5","True","Google Earth","False","","Y","2010","False","True","True","False","False","False","False","False"
